name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,honsid,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff,before_after
Kathryn Greiner,F,Yes,AO,NSW,2001-06-11,2001,Post,https://en.wikipedia.org/wiki/Kathryn_Greiner,42797795,872972,2014-05-19,2001-06-11,2014,2001,Officer of the Order of Australia,The Queen's Birthday 2001 Honours List,G,"For service to social welfare, particularly in the area of family support and the development of strategies to prevent child abuse, to charity through raising awareness of the need for funding to permit expansion and delivery of services, and to local government in Sydney.",Australian social worker,1,2001-06-11,2001,2014,4725,13,2014-W21,2001-W24,675,on or after honours
Kathryn HarbyWilliams,F,Yes,AM,VIC,2018-06-11,2018,Post,https://en.wikipedia.org/wiki/Kathryn_Harby-Williams,3634727,2001348,2006-01-06,2018-06-11,2006,2018,Member of the Order of Australia,The Queen's Birthday 2018 Honours List,G,"For significant service to netball as a player, national captain, coach, commentator, board member and player's advocate.",Australian netball player,1,2018-06-11,2018,2006,-4539,-12,2006-W01,2018-W24,-649,before Honours
Kathryn North,F,Yes,AC,VIC,2012-01-26,2012,Post,https://en.wikipedia.org/wiki/Kathryn_North,47562340,2003212,2015-08-19,2019-01-26,2015,2019,Companion of the Order of Australia,Australia Day 2019 Honours List,G,"For eminent service to genomic medicine nationally and internationally, to medical research in the fields of genetics, neurology and child health, and as a mentor and role model.","Australian paediatric physician, neurologist, and clinical geneticist",2,2012-01-26,2012,2015,1301,3,2015-W34,2012-W04,185,on or after honours
Kathryn Selby,F,Yes,AM,NSW,2013-01-26,2013,Post,https://en.wikipedia.org/wiki/Kathryn_Selby,25333196,1146839,2009-12-06,2013-01-26,2009,2013,Member of the Order of Australia,Australia Day 2013 Honours List,G,For significant service to the arts as a concert pianist and performer of chamber music.,Australian musician,1,2013-01-26,2013,2009,-1147,-4,2009-W49,2013-W04,-164,before Honours
Kathryn Toohey,F,Yes,AM,ACT,2017-06-12,2017,Post,https://en.wikipedia.org/wiki/Kathryn_Toohey,54209314,1769903,2017-06-03,2017-06-12,2017,2017,Member of the Order of Australia,The Queen's Birthday 2017 Honours List,M,For exceptional service to the Australian Defence Force in the fields of capability development and education.,Australian general,1,2017-06-12,2017,2017,-9,0,2017-W22,2017-W24,-2,before Honours
Kathy Sullivan Australian politician,F,Yes,AM,QLD,2003-01-26,2003,Post,https://en.wikipedia.org/wiki/Kathy_Sullivan_(Australian_politician),1200496,1042259,2004-11-23,2003-01-26,2004,2003,Member of the Order of Australia,Australia Day 2003 Honours List,NA,"For service to the Parliament of Australia and to the community, particularly as an advocate for improved services and conditions affecting women.",Australian politician,1,2003-01-26,2003,2004,667,1,2004-W48,2003-W04,95,on or after honours
Katie Allen field hockey,F,Yes,OAM,SA,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/Katie_Allen_(field_hockey),35834030,886951,2012-05-16,2001-01-26,2012,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,Olympic field hockey player,1,2001-01-26,2001,2012,4128,11,2012-W20,2001-W04,589,on or after honours
Katie Kelly paratriathlete,F,Yes,OAM,ACT,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Katie_Kelly_(paratriathlete),47241034,1155061,2015-05-29,2017-01-26,2015,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,For service to sport as a gold medallist at the Rio 2016 Paralympic Games.,Australian paratriathlete,1,2017-01-26,2017,2015,-608,-2,2015-W22,2017-W04,-87,before Honours
Katrina Fong Lim,F,Yes,AM,NT,2019-01-26,2019,Post,https://en.wikipedia.org/wiki/Katrina_Fong_Lim,36963616,2003132,2012-09-09,2019-01-26,2012,2019,Member of the Order of Australia,Australia Day 2019 Honours List,G,"For significant service to local government, and to the community of the Northern Territory.",Australian politician,1,2019-01-26,2019,2012,-2330,-7,2012-W36,2019-W04,-333,before Honours
Katrina Porter,F,Yes,OAM,WA,2009-01-26,2009,Post,https://en.wikipedia.org/wiki/Katrina_Porter,33306641,1140097,2011-10-05,2009-01-26,2011,2009,Medal of the Order of Australia,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Paralympic Games.,Australian Paralympic swimmer,1,2009-01-26,2009,2011,982,2,2011-W40,2009-W05,140,on or after honours
Katrina Sedgwick,F,Yes,OAM,VIC,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Katrina_Sedgwick,45432953,2005284,2015-02-18,2020-01-26,2015,2020,Medal of the Order of Australia,Australia Day 2020 Honours List,G,"For service to performing, screen, and visual arts administration.",NA,1,2020-01-26,2020,2015,-1803,-5,2015-W08,2020-W04,-258,before Honours
Kavisha Mazzella,F,Yes,AM,VIC,2011-01-26,2011,Post,https://en.wikipedia.org/wiki/Kavisha_Mazzella,46220664,1143478,2015-03-25,2011-01-26,2015,2011,Member of the Order of Australia,Australia Day 2011 Honours List,G,"For service to the performing arts as a singer and songwriter, and to the community, through the development of musical projects promoting awareness of multicultural, refugee and Indigenous experiences.",Australian musician,1,2011-01-26,2011,2015,1519,4,2015-W13,2011-W04,217,on or after honours
Kay Goldsworthy,F,Yes,AO,VIC,2017-06-12,2017,Post,https://en.wikipedia.org/wiki/Kay_Goldsworthy,16976766,1769684,2008-04-18,2017-06-12,2008,2017,Officer of the Order of Australia,The Queen's Birthday 2017 Honours List,G,"For distinguished service to religion through the Anglican Church of Australia, as a pioneer and role model for women, to church administration, and to pastoral care and equality.",Anglican Archbishop of Perth,1,2017-06-12,2017,2008,-3342,-9,2008-W16,2017-W24,-478,before Honours
Kay Hallahan,F,Yes,AO,WA,2002-06-10,2002,Post,https://en.wikipedia.org/wiki/Kay_Hallahan,27987443,1040418,2010-07-10,2002-06-10,2010,2002,Officer of the Order of Australia,The Queen's Birthday 2002 Honours List,NA,"For  service to the community, particularly as an advocate for the needs of children, women and the elderly, in matters of social justice, and to the Parliament of Western Australia.",Western Australian politician,1,2002-06-10,2002,2010,2952,8,2010-W27,2002-W24,421,on or after honours
Kay Hull,F,Yes,AM,NSW,2015-06-08,2015,Post,https://en.wikipedia.org/wiki/Kay_Hull,568797,1151852,2004-04-01,2015-06-08,2004,2015,Member of the Order of Australia,The Queen's Birthday 2015 Honours List,G,"For significant service to the Parliament of Australia, and to the community of the Riverina as a leader and advocate.",Australian politician,1,2015-06-08,2015,2004,-4085,-11,2004-W14,2015-W24,-584,before Honours
Kay Patterson,F,Yes,AO,VIC,2016-06-13,2016,Post,https://en.wikipedia.org/wiki/Kay_Patterson,948543,1153695,2004-09-01,2016-06-13,2004,2016,Officer of the Order of Australia,The Queen's Birthday 2016 Honours List,G,"For distinguished service to the Parliament of Australia, and to the community of Victoria, to the advancement of public policy and initiatives, particularly for women, and as a senior academic.",Australian politician,1,2016-06-13,2016,2004,-4303,-12,2004-W36,2016-W24,-615,before Honours
Kaye Basford,F,Yes,AM,QLD,2020-06-07,2020,Post,https://en.wikipedia.org/wiki/Kaye_Basford,55873688,2007085,2017-11-24,2020-06-07,2017,2020,Member of the Order of Australia,The Queen's Birthday 2020 Honours List,G,"For significant service to tertiary education, to the biomedical sciences, and to scientific academies.",Australian biometrician,1,2020-06-07,2020,2017,-926,-3,2017-W47,2020-W23,-133,before Honours
Keith De Lacy,M,Yes,AM,QLD,2006-06-12,2006,Post,https://en.wikipedia.org/wiki/Keith_De_Lacy,38828795,1132880,2013-03-16,2006-06-12,2013,2006,Member of the Order of Australia,The Queen's Birthday 2006 Honours List,G,"For service to the Queensland Parliament as Treasurer, to business and public administration, and to the community of Cairns.",Australian politician,1,2006-06-12,2006,2013,2469,7,2013-W11,2006-W24,352,on or after honours
Keith Dunstan,M,Yes,OAM,VIC,2002-01-26,2002,Post,https://en.wikipedia.org/wiki/Keith_Dunstan,5058295,1132425,2006-05-08,2002-01-26,2006,2002,Medal of the Order of Australia,Australia Day 2002 Honours List,G,"For service as a journalist and author, and to the community, particularly as a supporter of the Berry Street Babies Home.",Journalist and author,1,2002-01-26,2002,2006,1563,4,2006-W19,2002-W04,223,on or after honours
Keith Jamieson,M,Yes,OAM,QLD,2020-06-07,2020,Post,https://en.wikipedia.org/wiki/Keith_Jamieson,56575311,2006720,2018-02-13,2020-06-07,2018,2020,Medal of the Order of Australia,The Queen's Birthday 2020 Honours List,G,"For service to country music, and to the community.",NA,1,2020-06-07,2020,2018,-845,-2,2018-W07,2020-W23,-121,before Honours
Keith Mason judge,M,Yes,AC,NSW,2003-01-26,2003,Post,https://en.wikipedia.org/wiki/Keith_Mason_(judge),10384436,1041302,2007-03-31,2003-01-26,2007,2003,Companion of the Order of Australia,Australia Day 2003 Honours List,NA,"For service to the law and legal scholarship, to the judicial system in New South Wales, to the Anglican Church, and to the community.",Australian judge,1,2003-01-26,2003,2007,1525,4,2007-W13,2003-W04,217,on or after honours
Keith Miller,M,Yes,AM,VIC,2005-01-26,2005,Post,https://en.wikipedia.org/wiki/Keith_Miller,1061737,1141606,2004-10-13,2005-01-26,2004,2005,Member of the Order of Australia,Australia Day 2005 Honours List,NA,"For service to sport, particularly cricket as a player, journalist and commentator.",Australian sportsman (1919-2004),1,2005-01-26,2005,2004,-105,-1,2004-W42,2005-W04,-15,before Honours
Keith Payne,M,Yes,AM,QLD,2006-01-26,2006,Post,https://en.wikipedia.org/wiki/Keith_Payne,900386,1151886,2004-08-15,2015-06-08,2004,2015,Member of the Order of Australia,The Queen's Birthday 2015 Honours List,G,"For significant service to veterans and their families as an ambassador, patron and as an advocate for veterans' health and welfare.",Australian soldier and Victoria Cross recipient,2,2006-01-26,2006,2004,-529,-2,2004-W33,2006-W04,-76,before Honours
Keith Potger,M,Yes,AO,NSW,2014-06-09,2014,Post,https://en.wikipedia.org/wiki/Keith_Potger,2198325,1149973,2005-07-09,2014-06-09,2005,2014,Officer of the Order of Australia,The Queen's Birthday 2014 Honours List,G,"For distinguished service to the performing arts as an entertainer, through seminal contributions to Australian music, and as a supporter of a range of not-for-profit organisations.",Australian singer,1,2014-06-09,2014,2005,-3257,-9,2005-W27,2014-W24,-466,before Honours
Keith Slater,M,Yes,AM,WA,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Keith_Slater,2853306,2006034,2005-10-07,2020-01-26,2005,2020,Member of the Order of Australia,Australia Day 2020 Honours List,G,"For significant service to cricket, Australian&nbsp;rules football, and baseball, in Western Australia.",cricketer,1,2020-01-26,2020,2005,-5224,-15,2005-W40,2020-W04,-747,before Honours
Keith Suter,M,Yes,AM,NSW,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/Keith_Suter,1122019,2004532,2004-11-01,2019-06-10,2004,2019,Member of the Order of Australia,Queen's Birthday 2019 Honours List,G,"For significant service to international relations, and to the Uniting Church in Australia.",Australian social scientist,1,2019-06-10,2019,2004,-5334,-15,2004-W45,2019-W24,-762,before Honours
Keith Urban,M,Yes,AO,Other,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Keith_Urban,1574157,2005294,2005-03-06,2020-01-26,2005,2020,Officer of the Order of Australia,Australia Day 2020 Honours List,G,"For distinguished service to the performing arts as a singer and songwriter, and to charitable organisations.",New Zealand-born Australian country music singer,1,2020-01-26,2020,2005,-5439,-15,2005-W09,2020-W04,-777,before Honours
Kelly Cartwright,F,Yes,OAM,VIC,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Kelly_Cartwright,36348024,1149091,2012-07-07,2014-01-26,2012,2014,Medal of the Order of Australia,Australia Day 2014 Honours List,G,For service to sport as a gold medallist at the London 2012 Paralympic Games.,Australian female athletics Paralympian,1,2014-01-26,2014,2012,-568,-2,2012-W27,2014-W04,-82,before Honours
Kemeri Murray,F,Yes,AO,SA,2004-06-14,2004,Post,https://en.wikipedia.org/wiki/Kemeri_Murray,59899237,1056777,2019-02-09,2004-06-14,2019,2004,Officer of the Order of Australia,The Queen's Birthday 2004 Honours List,NA,"For service to the law, to the administration of justice, and to the community, particularly in the areas of social development, welfare, multicultural affairs, education, health and the arts.",NA,1,2004-06-14,2004,2019,5353,15,2019-W06,2004-W25,764,on or after honours
Ken Catchpole,M,Yes,OAM,NSW,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/Ken_Catchpole,5177285,886980,2006-05-17,2001-01-26,2006,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,"For service to Rugby Union football, and to the community.",Australian rugby union player,1,2001-01-26,2001,2006,1937,5,2006-W20,2001-W04,276,on or after honours
Ken Duncan photographer,M,Yes,OAM,NSW,2009-01-26,2009,Post,https://en.wikipedia.org/wiki/Ken_Duncan_(photographer),2006829,1139908,2005-06-08,2009-01-26,2005,2009,Medal of the Order of Australia,Australia Day 2009 Honours List,G,"For service to the arts as a landscape photographer and publisher, and to the community of the Central Coast of New South Wales.",Australian photographer,1,2009-01-26,2009,2005,-1328,-4,2005-W23,2009-W05,-190,before Honours
Ken Freeman astronomer,M,Yes,AC,ACT,2017-06-12,2017,Post,https://en.wikipedia.org/wiki/Ken_Freeman_(astronomer),13092179,1769657,2007-09-04,2017-06-12,2007,2017,Companion of the Order of Australia,The Queen's Birthday 2017 Honours List,G,"For eminent service to astronomy through pioneering contributions in the field of galactic archaeology, as a leading astrophysicist and researcher, to tertiary science education, to professional academies, and as a mentor of young scientists.",Australian astronomer,1,2017-06-12,2017,2007,-3569,-10,2007-W36,2017-W24,-510,before Honours
Ken Gillanders,M,Yes,OAM,TAS,2004-06-14,2004,Post,https://en.wikipedia.org/wiki/Ken_Gillanders,22762596,1057071,2009-05-11,2004-06-14,2009,2004,Medal of the Order of Australia,The Queen's Birthday 2004 Honours List,NA,"For service to horticulture through the introduction and propagation of rare and exotic plants, and to the Australian Rhododendron Society.",Australian botanist,1,2004-06-14,2004,2009,1792,5,2009-W20,2004-W25,256,on or after honours
Ken Henry public servant,M,Yes,AC,NSW,2007-01-26,2007,Post,https://en.wikipedia.org/wiki/Ken_Henry_(public_servant),13882095,1133676,2007-10-24,2007-01-26,2007,2007,Companion of the Order of Australia,Australia Day 2007 Honours List,G,"For service to the development and implementation of economic and taxation policy, to the finance sector through a range of banking and regulatory bodies, and to the community in the area of welfare and care of native wildlife.",Australian public servant,1,2007-01-26,2007,2007,271,0,2007-W43,2007-W04,38,on or after honours
Ken Hillman,M,Yes,AO,NSW,2015-01-26,2015,Post,https://en.wikipedia.org/wiki/Ken_Hillman,60290660,1150758,2019-03-21,2015-01-26,2019,2015,Officer of the Order of Australia,Australia Day 2015 Honours List,G,"For distinguished service to intensive care medicine as a clinician, educator and researcher, as a pioneer in the introduction of the medical emergency team system, and as an advocate for the critically ill.",NA,1,2015-01-26,2015,2019,1515,4,2019-W12,2015-W05,216,on or after honours
Ken Inglis,M,Yes,AO,ACT,2003-06-09,2003,Post,https://en.wikipedia.org/wiki/Ken_Inglis,4145179,1043233,2006-02-21,2003-06-09,2006,2003,Officer of the Order of Australia,The Queen's Birthday 2003 Honours List,NA,"For service as a leading contributor to Australian social and cultural development, and to scholarship, particularly in the field of history as a researcher, writer and educator.",Australian historian,1,2003-06-09,2003,2006,988,3,2006-W08,2003-W24,141,on or after honours
Ken Jasper,M,Yes,AM,VIC,2012-06-11,2012,Post,https://en.wikipedia.org/wiki/Ken_Jasper,12848283,1145881,2007-08-20,2012-06-11,2007,2012,Member of the Order of Australia,The Queen's Birthday 2012 Honours List,G,"For service to the Parliament of Victoria, and to the community of the Murray Valley, through advocacy and support roles for the performing arts, multicultural, transport, health and emergency service organisations.",Australian politician,1,2012-06-11,2012,2007,-1757,-5,2007-W34,2012-W24,-251,before Honours
Ken Lay police officer,M,Yes,AO,VIC,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Ken_Lay_(police_officer),33805302,1154628,2011-11-20,2017-01-26,2011,2017,Officer of the Order of Australia,Australia Day 2017 Honours List,G,"For distinguished service to law enforcement as Chief Commissioner of Police in Victoria, through structural reforms to recruitment, training and deployment, and to social and community leadership.",Australian police officer; Chief Commissioner of Victoria Police,1,2017-01-26,2017,2011,-1894,-6,2011-W46,2017-W04,-271,before Honours
Ken Matthews public servant,M,Yes,AO,ACT,2005-01-26,2005,Post,https://en.wikipedia.org/wiki/Ken_Matthews_(public_servant),41836940,1057570,2014-02-04,2005-01-26,2014,2005,Officer of the Order of Australia,Australia Day 2005 Honours List,NA,"For service to the community through the development of more competitive and sustainable regional industries and services, to the national transport system, and to promoting the highest standards of public administration.",Public servant,1,2005-01-26,2005,2014,3296,9,2014-W06,2005-W04,470,on or after honours
Ken Moroney,M,Yes,AO,Other,2006-01-26,2006,Post,https://en.wikipedia.org/wiki/Ken_Moroney,4711649,1131316,2005-01-16,2006-01-26,2005,2006,Officer of the Order of Australia,Australia Day 2006 Honours List,G,"For service to policing and law enforcement as Commissioner of Police in New South Wales, particularly through implementing reforms to reduce crime and increase public confidence; and for contributions to national security issues.",Australian police chief,1,2006-01-26,2006,2005,-375,-1,2005-W02,2006-W04,-54,before Honours
Ken Shadie,M,Yes,OAM,NSW,2015-06-08,2015,Post,https://en.wikipedia.org/wiki/Ken_Shadie,46929770,1152201,2015-06-09,2015-06-08,2015,2015,Medal of the Order of Australia,The Queen's Birthday 2015 Honours List,G,"For service to the film and television industries as a writer, and to veterans.",Australian screenwriter,1,2015-06-08,2015,2015,1,0,2015-W24,2015-W24,0,on or after honours
Ken Smith Australian politician,M,Yes,AM,VIC,2018-06-11,2018,Post,https://en.wikipedia.org/wiki/Ken_Smith_(Australian_politician),5972184,2001781,2006-07-15,2018-06-11,2006,2018,Member of the Order of Australia,The Queen's Birthday 2018 Honours List,G,"For significant service to the people and Parliament of Victoria, to Australia-China relations, and to the community.",Australian politician,1,2018-06-11,2018,2006,-4349,-12,2006-W28,2018-W24,-622,before Honours
Ken Sutcliffe,M,Yes,OAM,NSW,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/Ken_Sutcliffe,4342010,2004596,2006-03-11,2019-06-10,2006,2019,Medal of the Order of Australia,Queen's Birthday 2019 Honours List,G,"For service to the broadcast media, particularly to television.",Australian television presenter,1,2019-06-10,2019,2006,-4839,-13,2006-W10,2019-W24,-692,before Honours
Ken Trevallion,M,Yes,OAM,NSW,2003-06-09,2003,Post,https://en.wikipedia.org/wiki/Ken_Trevallion,24183779,1044146,2009-09-01,2003-06-09,2009,2003,Medal of the Order of Australia,The Queen's Birthday 2003 Honours List,NA,For service to the community through We Help Ourselves and the Myalgic Encephalomyelitis/Chronic Fatigue Syndrome Society of New South Wales.,Australian drug rehabilatator,1,2003-06-09,2003,2009,2276,6,2009-W36,2003-W24,325,on or after honours
Ken Wallace canoeist,M,Yes,OAM,QLD,2009-01-26,2009,Post,https://en.wikipedia.org/wiki/Ken_Wallace_(canoeist),7312808,1140166,2006-10-06,2009-01-26,2006,2009,Medal of the Order of Australia,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Olympic Games.,canoeist,1,2009-01-26,2009,2006,-843,-3,2006-W40,2009-W05,-121,before Honours
Kenneth Hayne,M,Yes,AC,ACT,2002-06-10,2002,Post,https://en.wikipedia.org/wiki/Kenneth_Hayne,1186353,1040409,2004-11-19,2002-06-10,2004,2002,Companion of the Order of Australia,The Queen's Birthday 2002 Honours List,NA,"For  service to the judiciary, to the law as an outstanding scholar, barrister and jurist, and to the community in the advancement of both legal and general education.",Australian judge,1,2002-06-10,2002,2004,893,2,2004-W47,2002-W24,127,on or after honours
Kenneth Marks jurist,M,Yes,AM,VIC,2005-01-26,2005,Post,https://en.wikipedia.org/wiki/Kenneth_Marks_(jurist),47442138,1057670,2015-08-06,2005-01-26,2015,2005,Member of the Order of Australia,Australia Day 2005 Honours List,NA,"For service to the judiciary and to the law, particularly in the area of law reform and through the implementation of innovative changes to court administration.",NA,1,2005-01-26,2005,2015,3844,10,2015-W32,2005-W04,549,on or after honours
Kenrick Tucker,M,Yes,OAM,QLD,2008-01-26,2008,Post,https://en.wikipedia.org/wiki/Kenrick_Tucker,46665870,1137838,2015-05-11,2008-01-26,2015,2008,Medal of the Order of Australia,Australia Day 2008 Honours List,G,"For service to the sport of cycling as a coach, administrator and competitor.",Australian cyclist,1,2008-01-26,2008,2015,2662,7,2015-W20,2008-W04,380,on or after honours
Keri CraigLee,F,Yes,OAM,QLD,2017-06-12,2017,Post,https://en.wikipedia.org/wiki/Keri_Craig-Lee,56925443,1769978,2018-03-24,2017-06-12,2018,2017,Medal of the Order of Australia,The Queen's Birthday 2017 Honours List,G,"For service to the clothing manufacturing sector, to business, and to the community.",Australian fashion designer,1,2017-06-12,2017,2018,285,1,2018-W12,2017-W24,40,on or after honours
Kerri Pottharst,F,Yes,OAM,QLD,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/Kerri_Pottharst,2466677,886916,2005-08-17,2001-01-26,2005,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,volleyball player,1,2001-01-26,2001,2005,1664,4,2005-W33,2001-W04,237,on or after honours
Kerry Greenwood,F,Yes,OAM,VIC,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Kerry_Greenwood,13734922,2005308,2007-10-15,2020-01-26,2007,2020,Medal of the Order of Australia,Australia Day 2020 Honours List,G,For service to literature as a writer.,Australian crime writer,1,2020-01-26,2020,2007,-4486,-13,2007-W42,2020-W04,-641,before Honours
Kerry Hill,M,Yes,AO,Other,2012-01-26,2012,Post,https://en.wikipedia.org/wiki/Kerry_Hill,28773433,1145057,2010-09-10,2012-01-26,2010,2012,Officer of the Order of Australia,Australia Day 2012 Honours List,G,"For distinguished service to architecture, particularly as an ambassador for Australian design in South East Asia, and as an educator and mentor.",Australian architect,1,2012-01-26,2012,2010,-503,-2,2010-W36,2012-W04,-72,before Honours
Kerry Sanderson,F,Yes,AC,WA,2004-06-14,2004,Post,https://en.wikipedia.org/wiki/Kerry_Sanderson,43151455,1153655,2014-06-27,2016-06-13,2014,2016,Companion of the Order of Australia,The Queen's Birthday 2016 Honours List,G,"For eminent service to the people of Western Australia, to the promotion of international investment, scientific research and export opportunities, and through roles with maritime, mining, emergency management and not-for-profit organisations.",Australian businesswoman; Governor of Western Australia,2,2004-06-14,2004,2014,3665,10,2014-W26,2004-W25,523,on or after honours
Kerryn Phelps,F,Yes,AM,NSW,2011-06-13,2011,Post,https://en.wikipedia.org/wiki/Kerryn_Phelps,4555546,1144301,2006-03-30,2011-06-13,2006,2011,Member of the Order of Australia,The Queen's Birthday 2011 Honours List,G,"For service to medicine, particularly through leadership roles with the Australian Medical Association, to education and community health, and as a general practitioner.",Australian doctor and politician,1,2011-06-13,2011,2006,-1901,-5,2006-W13,2011-W24,-272,before Honours
Keryn Williams,F,Yes,AC,SA,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Keryn_Williams,52989395,1154588,2017-01-26,2017-01-26,2017,2017,Companion of the Order of Australia,Australia Day 2017 Honours List,G,"For eminent service to medical science in the field of ophthalmology through the research and development of corneal transplantation, as an academic and mentor, and as a supporter of young women scientists.",Australian ophthalmologist,1,2017-01-26,2017,2017,0,0,2017-W04,2017-W04,0,on or after honours
Kevin Bell judge,M,Yes,AM,VIC,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Kevin_Bell_(judge),15907128,1154674,2008-02-23,2017-01-26,2008,2017,Member of the Order of Australia,Australia Day 2017 Honours List,G,"For significant service to the law and to the judiciary, to native title and human rights, and to the community.",Australian judge,1,2017-01-26,2017,2008,-3260,-9,2008-W08,2017-W04,-466,before Honours
Kevin Donnelly,M,Yes,AM,VIC,2016-06-13,2016,Post,https://en.wikipedia.org/wiki/Kevin_Donnelly,62430208,1153748,2019-11-26,2016-06-13,2019,2016,Member of the Order of Australia,The Queen's Birthday 2016 Honours List,G,"For significant service to education as a researcher and author, to national curriculum development, and to professional organisations.","Australian educator, author, and commentator",1,2016-06-13,2016,2019,1261,3,2019-W48,2016-W24,180,on or after honours
Kevin Hamilton politician,M,Yes,OAM,SA,2007-01-26,2007,Post,https://en.wikipedia.org/wiki/Kevin_Hamilton_(politician),44138461,1134016,2014-10-18,2007-01-26,2014,2007,Medal of the Order of Australia,Australia Day 2007 Honours List,G,"For service to the community through fundraising activities for charitable organisations, and as a member of the South Australian Parliament.",Australian politician,1,2007-01-26,2007,2014,2822,7,2014-W42,2007-W04,403,on or after honours
Kevin Lindgren,M,Yes,AM,NSW,2012-01-26,2012,Post,https://en.wikipedia.org/wiki/Kevin_Lindgren,25597190,1145140,2009-12-30,2012-01-26,2009,2012,Member of the Order of Australia,Australia Day 2012 Honours List,G,"For service to the judiciary and the administration of justice through the Federal Court of Australia, and to legal education in the area of commercial law.",Australian judge,1,2012-01-26,2012,2009,-757,-3,2009-W53,2012-W04,-109,before Honours
Kevin Rozzoli,M,Yes,AM,NSW,2008-01-26,2008,Post,https://en.wikipedia.org/wiki/Kevin_Rozzoli,20229792,1137532,2008-11-16,2008-01-26,2008,2008,Member of the Order of Australia,Australia Day 2008 Honours List,G,"For service to the New South Wales Parliament, and to the community of the Greater Western Sydney area through a range of environmental protection, health and welfare, and educational organisations.",Australian politician,1,2008-01-26,2008,2008,295,0,2008-W46,2008-W04,42,on or after honours
Kevin Rudd,M,Yes,AC,QLD,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/Kevin_Rudd,380965,2004929,2003-11-28,2019-06-10,2003,2019,Companion of the Order of Australia,Queen's Birthday 2019 Honours List,G,"For eminent service to the Parliament of Australia, particularly as Prime Minister, to Indigenous reconciliation, innovative economic initiatives and major policy reform, and through senior advisory roles with international organisations.","Australian politician, 26th Prime Minister of Australia",1,2019-06-10,2019,2003,-5673,-16,2003-W48,2019-W24,-811,before Honours
Kevin Scarce,M,Yes,AC,SA,2001-06-11,2001,Post,https://en.wikipedia.org/wiki/Kevin_Scarce,11048941,1137398,2007-05-04,2008-01-26,2007,2008,Companion of the Order of Australia,Australia Day 2008 Honours List,G,"For distinguished contributions to Australia's defence industry through the provision of leadership and strategic advice on the development of naval capabilities, to maritime transport management, and to the people of South Australia.",Australian navy officer,3,2001-06-11,2001,2007,2153,6,2007-W18,2001-W24,307,on or after honours
Kevin Sheehan,M,Yes,OAM,VIC,2013-01-26,2013,Post,https://en.wikipedia.org/wiki/Kevin_Sheehan,20914675,1147195,2009-01-02,2013-01-26,2009,2013,Medal of the Order of Australia,Australia Day 2013 Honours List,G,For service to the sport of Australian rules football.,Australian rules footballer,1,2013-01-26,2013,2009,-1485,-4,2009-W01,2013-W04,-213,before Honours
Khoo Boon Hui,M,Yes,AO,Other,2007-05-18,2007,Post,https://en.wikipedia.org/wiki/Khoo_Boon_Hui,2525122,1141660,2005-08-24,2007-05-18,2005,2007,Officer of the Order of Australia,NA,HG,"For service to Australia-Singapore relations, particularly to regional security and combating transnational crime.",Singaporean police chief,1,2007-05-18,2007,2005,-632,-2,2005-W34,2007-W20,-91,before Honours
Kial Stewart,M,Yes,OAM,ACT,2005-01-26,2005,Post,https://en.wikipedia.org/wiki/Kial_Stewart,33299452,1058091,2011-10-04,2005-01-26,2011,2005,Medal of the Order of Australia,Australia Day 2005 Honours List,NA,For service to sport as a Gold Medallist at the Athens 2004 Paralympic Games.,Australian Paralympic tandem cycling pilot,1,2005-01-26,2005,2011,2442,6,2011-W40,2005-W04,348,on or after honours
