name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,honsid,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff,before_after
Amy Witting,F,Yes,AM,NSW,2002-06-10,2002,Post,https://en.wikipedia.org/wiki/Amy_Witting,7436712,1040518,2006-10-14,2002-06-10,2006,2002,Member of the Order of Australia,The Queen's Birthday 2002 Honours List,NA,"For  service to Australian literature as a novelist, poet and short story writer, and as a mentor to younger writers.","Australian novelist, poet",1,2002-06-10,2002,2006,1587,4,2006-W41,2002-W24,226,on or after honours
Andrea Hull,F,Yes,AO,VIC,2003-06-09,2003,Post,https://en.wikipedia.org/wiki/Andrea_Hull,20203188,1043232,2008-11-14,2003-06-09,2008,2003,Officer of the Order of Australia,The Queen's Birthday 2003 Honours List,NA,"For service to the arts, to arts education, and to policy development, particularly through improving community access and involvement in cultural pursuits.",Australian academic,1,2003-06-09,2003,2008,1985,5,2008-W46,2003-W24,283,on or after honours
Andrew Biankin,M,Yes,AO,Other,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/Andrew_Biankin,61023565,2004632,2019-06-12,2019-06-10,2019,2019,Officer of the Order of Australia,Queen's Birthday 2019 Honours List,G,"For distinguished service to medical research, and to the treatment of pancreatic cancer, as a clinician-scientist.",Australian clinician-scientist,1,2019-06-10,2019,2019,2,0,2019-W24,2019-W24,0,on or after honours
Andrew Bruce Holmes,M,Yes,AC,VIC,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Andrew_Bruce_Holmes,36802569,1154583,2012-08-23,2017-01-26,2012,2017,Companion of the Order of Australia,Australia Day 2017 Honours List,G,"For eminent service to science through developments in the field of organic and polymer chemistry as a researcher, editor and academic, and through the governance of nationally recognised, leading scientific organisations.",Australian and British research chemist and professor,1,2017-01-26,2017,2012,-1617,-5,2012-W34,2017-W04,-231,before Honours
Andrew Chapman photographer,M,Yes,OAM,VIC,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Andrew_Chapman_(photographer),62867777,1149096,2020-01-19,2014-01-26,2020,2014,Medal of the Order of Australia,Australia Day 2014 Honours List,G,For service to the arts as a photographer.,Australian photojournalist,1,2014-01-26,2014,2020,2184,6,2020-W03,2014-W04,312,on or after honours
Andrew Colvin,M,Yes,OAM,Other,2003-10-17,2003,Post,https://en.wikipedia.org/wiki/Andrew_Colvin,47585415,1044314,2015-08-21,2003-10-17,2015,2003,Medal of the Order of Australia,Special List 2003 Honours List,NA,"For service to the police joint Bali bombing investigation and victim identification process, known as Operation ALLIANCE.",Australian police officer,1,2003-10-17,2003,2015,4326,12,2015-W34,2003-W42,618,on or after honours
Andrew Curnow,M,Yes,AM,VIC,2013-01-26,2013,Post,https://en.wikipedia.org/wiki/Andrew_Curnow,20315937,1146747,2008-11-21,2013-01-26,2008,2013,Member of the Order of Australia,Australia Day 2013 Honours List,G,For significant service to the Anglican Church of Australia through leadership roles.,Australian bishop,1,2013-01-26,2013,2008,-1527,-5,2008-W47,2013-W04,-219,before Honours
Andrew Dawes coach,M,Yes,OAM,NSW,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Andrew_Dawes_(coach),47105996,1149134,2015-06-29,2014-01-26,2015,2014,Medal of the Order of Australia,Australia Day 2014 Honours List,G,For service to athletics as a wheelchair track and road coach.,Australian wheelchair racing coach,1,2014-01-26,2014,2015,519,1,2015-W27,2014-W04,74,on or after honours
Andrew Dent,M,Yes,AM,VIC,2008-06-09,2008,Post,https://en.wikipedia.org/wiki/Andrew_Dent,23131090,1138649,2009-06-08,2008-06-09,2009,2008,Member of the Order of Australia,The Queen's Birthday 2008 Honours List,G,"For service to emergency medicine as an academic, researcher and educator and through administrative roles at St Vincent's Hospital, Melbourne.",Australian doctor,1,2008-06-09,2008,2009,364,1,2009-W24,2008-W24,52,on or after honours
Andrew Edmondson,M,Yes,OAM,NSW,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Andrew_Edmondson,51163785,1154949,2016-07-26,2017-01-26,2016,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,For service to sport as a gold medallist at the Rio 2016 Paralympic Games.,Australian wheelchair rugby player,1,2017-01-26,2017,2016,-184,-1,2016-W30,2017-W04,-27,before Honours
Andrew Evans pastor,M,Yes,OAM,SA,2003-01-26,2003,Post,https://en.wikipedia.org/wiki/Andrew_Evans_(pastor),1075923,1042623,2004-10-17,2003-01-26,2004,2003,Medal of the Order of Australia,Australia Day 2003 Honours List,NA,For service to the community through the promotion of Christian values and the development of support and social welfare services for families and young people.,Australian politician,1,2003-01-26,2003,2004,630,1,2004-W42,2003-W04,90,on or after honours
Andrew Farriss,M,Yes,AM,NSW,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Andrew_Farriss,3969572,2005320,2006-02-06,2020-01-26,2006,2020,Member of the Order of Australia,Australia Day 2020 Honours List,G,"For significant service to the performing arts as a musician, composer and producer.",Australian musician,1,2020-01-26,2020,2006,-5102,-14,2006-W06,2020-W04,-729,before Honours
Andrew Fletcher businessman,M,Yes,AO,SA,2017-06-12,2017,Post,https://en.wikipedia.org/wiki/Andrew_Fletcher_(businessman),51234166,1769681,2016-08-03,2017-06-12,2016,2017,Officer of the Order of Australia,The Queen's Birthday 2017 Honours List,G,"For distinguished service to business, particularly to the development of defence related industries in South Australia, through senior roles with maritime facility and major infrastructure projects, and to engineering.",NA,1,2017-06-12,2017,2016,-313,-1,2016-W31,2017-W24,-45,before Honours
Andrew Ford composer,M,Yes,OAM,NSW,2016-06-13,2016,Post,https://en.wikipedia.org/wiki/Andrew_Ford_(composer),13351429,1153971,2007-09-20,2016-06-13,2007,2016,Medal of the Order of Australia,The Queen's Birthday 2016 Honours List,G,"For service to music composition, and as an author and radio broadcaster.",English/Australian composer,1,2016-06-13,2016,2007,-3189,-9,2007-W38,2016-W24,-456,before Honours
Andrew Forrest,M,Yes,AO,WA,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Andrew_Forrest,12833990,1154613,2007-08-19,2017-01-26,2007,2017,Officer of the Order of Australia,Australia Day 2017 Honours List,G,"For distinguished service to the mining sector, to the development of employment and business opportunities, as a supporter of sustainable foreign investment, and to philanthropy.",Australian mining businessman,1,2017-01-26,2017,2007,-3448,-10,2007-W33,2017-W04,-493,before Honours
Andrew Gaze,M,Yes,AM,VIC,2002-01-26,2002,Post,https://en.wikipedia.org/wiki/Andrew_Gaze,283234,1132263,2003-07-29,2002-01-26,2003,2002,Member of the Order of Australia,Australia Day 2002 Honours List,G,"For service to basketball, to Olympic sport, and to the community.",Australian basketball player,1,2002-01-26,2002,2003,549,1,2003-W31,2002-W04,78,on or after honours
Andrew Harrison wheelchair rugby,M,Yes,OAM,VIC,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Andrew_Harrison_(wheelchair_rugby),36348419,1149215,2012-07-07,2014-01-26,2012,2014,Medal of the Order of Australia,Australia Day 2014 Honours List,G,For service to sport as a gold medallist at the London 2012 Paralympic Games.,Australian male wheelchair rugby Paralympian,1,2014-01-26,2014,2012,-568,-2,2012-W27,2014-W04,-82,before Honours
Andrew Jaspan,M,Yes,AM,VIC,2020-06-07,2020,Post,https://en.wikipedia.org/wiki/Andrew_Jaspan,1761774,2007170,2005-04-19,2020-06-07,2005,2020,Member of the Order of Australia,The Queen's Birthday 2020 Honours List,G,"For significant service to the print and digital media, and to tertiary education.",British journalist,1,2020-06-07,2020,2005,-5528,-15,2005-W16,2020-W23,-790,before Honours
Andrew Kerr water polo,M,Yes,OAM,NSW,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Andrew_Kerr_(water_polo),36244651,1149268,2012-06-26,2014-01-26,2012,2014,Medal of the Order of Australia,Australia Day 2014 Honours List,G,"For service to the community, and to water polo.",Australian water polo player,1,2014-01-26,2014,2012,-579,-2,2012-W26,2014-W04,-83,before Honours
