name,awardComb,honoursYear,wikipediaYear,WPDate,honoursDate,wikipediaPage,firstAwardDate,newAwardDate,newAwardYear,newTimeDiff,newYearDiff,prePostWikiPedia,gender,state,wikipediaPageID,AwardName,fullName,AnnouncementEvent,division,citation,wikiDataDescription,wikipediaURL,division2,numberOfHonours
Alec Hill,AM,2006,2010,2010-01-23,2006-01-26,Yes,2006-01-26,2006-01-26,2006,1458,4,Post,M,ACT,25913426,Member of the Order of Australia,Mr Alec Jeffrey HILL,Australia Day 2006 Honours List,G,"For service to education in the field of Australian military history, to the Australian War Memorial as a writer and as a mentor to historians, and as a contributor to the Australian Dictionary of Biography.",Australian historian,https://en.wikipedia.org/wiki/Alec_Hill,NA,1
Alec Lazenby,AO,1988,2012,2012-04-04,1988-01-26,Yes,1988-01-26,2001-01-15,2001,4097,11,Pre,M,TAS,35322086,Officer of the Order of Australia,Professor Alec LAZENBY,Australia Day 1988 Honours List,G,AO AD88. FOR SERVICE TO LEARNING,academic,https://en.wikipedia.org/wiki/Alec_Lazenby,NA,1
Alec Ross (tour guide),OAM,2013,2017,2017-05-24,2013-06-10,Yes,2013-06-10,2013-06-10,2013,1444,4,Post,M,NT,54127492,Medal of the Order of Australia,Mr Alec Donald ROSS,The Queen's Birthday 2013 Honours List,G,For service to tourism in central Australia.,NA,https://en.wikipedia.org/wiki/Alec_Ross_(tour_guide),NA,1
Alex Chernov,AC,2012,2007,2007-03-02,2012-01-26,Yes,2007-06-11,2007-06-11,2007,-101,0,Post,M,VIC,9804900,Companion of the Order of Australia,His Excellency the Honourable Alex CHERNOV,Australia Day 2012 Honours List,G,"For eminent service to the people of Victoria, to the advancement of higher education, particularly the development of academic and administrative programs at the University of Melbourne, through the establishment of the Australia India Institute, and to the judiciary.","Australian jurist, Supreme Court judge, Governor of Victoria",https://en.wikipedia.org/wiki/Alex_Chernov,NA,2
Alex Freeleagus,AO,1995,2006,2006-07-26,1995-06-12,Yes,1995-06-12,2001-01-15,2001,2018,5,Pre,M,QLD,6122810,Officer of the Order of Australia,"Mr Alexander Christy FREELEAGUS, CBE, AM",The Queen's Birthday 1995 Honours List,G,"For service to the community, particularly to the welfare of the Greek community in Queensland and to the ex-service community.",Australian lawyer,https://en.wikipedia.org/wiki/Alex_Freeleagus,NA,1
Alex George,AM,2012,2005,2005-11-07,2012-06-11,Yes,2012-06-11,2012-06-11,2012,-2408,-7,Post,M,WA,3099530,Member of the Order of Australia,Dr Alexander Segger GEORGE,The Queen's Birthday 2012 Honours List,G,"For service to conservation and the environment as a botanist, historian and author, particularly in the area of Australian flora, and through roles with national and international professional organisations.",Western Australian botanist,https://en.wikipedia.org/wiki/Alex_George,NA,1
Alex Gillon,AM,1987,2014,2014-11-17,1987-01-26,Yes,1987-01-26,2001-01-15,2001,5054,13,Pre,M,VIC,44424717,Member of the Order of Australia,"Commissioner Alexander George GILLON, OBE",Australia Day 1987 Honours List,G,For service to local government.,"Australian rules football player and administrator; local councillor, mayor and commissioner",https://en.wikipedia.org/wiki/Alex_Gillon,NA,1
Alex Stitt,AM,2016,2018,2018-02-22,2016-06-13,Yes,2016-06-13,2016-06-13,2016,619,2,Post,M,VIC,56661395,Member of the Order of Australia,Mr Alexander STITT,The Queen's Birthday 2016 Honours List,G,"For service to the graphic arts profession, to the animated film and television industry, and to the community through public health programs.",NA,https://en.wikipedia.org/wiki/Alex_Stitt,NA,1
Alex Wodak,AM,2010,2012,2012-09-15,2010-06-14,Yes,2010-06-14,2010-06-14,2010,824,2,Post,M,NSW,37019317,Member of the Order of Australia,Dr Alexander David WODAK,The Queen's Birthday 2010 Honours List,G,"For service to medicine and public health, particularly in the area of drug and alcohol dependency treatment, through legislative reform, and to medical education.",physician,https://en.wikipedia.org/wiki/Alex_Wodak,NA,1
Alex Zelinsky,AO,2017,2012,2012-05-22,2017-06-12,Yes,2017-06-12,2017-06-12,2017,-1847,-5,Post,M,ACT,35900874,Officer of the Order of Australia,Dr Alexander ZELINSKY,The Queen's Birthday 2017 Honours List,G,"For distinguished service to defence science and technology, to systems engineering, and to education as an academic and researcher.",Australian scientist,https://en.wikipedia.org/wiki/Alex_Zelinsky,NA,1
