name,awardComb,honoursYear,wikipediaYear,WPDate,honoursDate,wikipediaPage,firstAwardDate,newAwardDate,newAwardYear,newTimeDiff,newYearDiff,prePostWikiPedia,gender,state,wikipediaPageID,AwardName,fullName,AnnouncementEvent,division,citation,wikiDataDescription,wikipediaURL,division2,numberOfHonours
Jan Sardi,AO,2020,2010,2010-03-03,2020-06-07,Yes,2020-06-07,2020-06-07,2020,-3749,-10,Post,M,VIC,26411307,Officer of the Order of Australia,Mr Jan Vittorio SARDI,The Queen's Birthday 2020 Honours List,G,"For distinguished service to the film and television industries as a screenwriter and director, and to professional guilds.",Australian screenwriter,https://en.wikipedia.org/wiki/Jan_Sardi,NA,1
Jan Sedivka,AM,1987,2009,2009-08-23,1987-01-26,Yes,1987-01-26,2001-01-15,2001,3142,8,Pre,M,TAS,24082835,Member of the Order of Australia,Mr Jan Boleslav SEDIVKA,Australia Day 1987 Honours List,G,AM AD 87. FOR SERVICE TO MUSIC,Australian violinist,https://en.wikipedia.org/wiki/Jan_Sedivka,NA,1
Jan Senbergs,AM,2003,2013,2013-08-30,2003-01-26,Yes,2003-01-26,2003-01-26,2003,3869,10,Post,M,VIC,40396058,Member of the Order of Australia,Mr Jan Feliks SENBERGS,Australia Day 2003 Honours List,NA,"For service to the Australian visual arts as a painter whose work has been exhibited in, and forms part of, national and international galleries and collections.",Latvian artist,https://en.wikipedia.org/wiki/Jan_Senbergs,NA,1
Jane Aagaard,AM,2020,2005,2005-07-03,2020-06-07,Yes,2020-06-07,2020-06-07,2020,-5453,-15,Post,F,NT,2160683,Member of the Order of Australia,The Honourable Jane Lesley AAGAARD,The Queen's Birthday 2020 Honours List,G,"For significant service to the Legislative Assembly of the Northern Territory, and to the community.","politician in the Northern Territory, Australia",https://en.wikipedia.org/wiki/Jane_Aagaard,NA,1
Jane Caro,AM,2019,2012,2012-05-18,2019-06-10,Yes,2019-06-10,2019-06-10,2019,-2579,-7,Post,F,NSW,35858432,Member of the Order of Australia,Ms Catherine Jane CARO,Queen's Birthday 2019 Honours List,G,"For significant service to the broadcast media as a journalist, social commentator and author.",non-fiction writer,https://en.wikipedia.org/wiki/Jane_Caro,NA,1
Jane den Hollander,AO,2017,2010,2010-11-18,2017-01-26,Yes,2017-01-26,2017-01-26,2017,-2261,-7,Post,F,VIC,29644896,Officer of the Order of Australia,Professor Jane Elizabeth den HOLLANDER,Australia Day 2017 Honours List,G,"For distinguished service to tertiary education through a range of executive administration and advisory roles, as a supporter of professional educational organisations, and to the community.",Australian academic administrator,https://en.wikipedia.org/wiki/Jane_den_Hollander,NA,1
Jane Edmanson,OAM,2004,2018,2018-10-31,2004-06-14,Yes,2004-06-14,2004-06-14,2004,5252,14,Post,F,VIC,58927445,Medal of the Order of Australia,Ms Jane Marion EDMANSON,The Queen's Birthday 2004 Honours List,NA,"For service to horticulture, particularly through the promotion of environmentally sustainable gardening practices, and the encouragement and education of young gardeners.","Australian horticulturalist, author, and television and radio personality",https://en.wikipedia.org/wiki/Jane_Edmanson,NA,1
Jane Halton,AO,2015,2014,2014-01-27,2015-06-08,Yes,2015-06-08,2015-06-08,2015,-497,-1,Post,F,ACT,41762915,Officer of the Order of Australia,Adjunct Professor Sarah Jane HALTON,The Queen's Birthday 2015 Honours List,G,"For distinguished service to public administration, particularly to the health and aged care sectors, through the development and implementation of public policy, and to professional national and international organisations.",Australian public servant,https://en.wikipedia.org/wiki/Jane_Halton,NA,1
Jane Lomax-Smith,AM,2013,2005,2005-03-20,2013-01-26,Yes,2013-01-26,2013-01-26,2013,-2869,-8,Post,F,SA,1624939,Member of the Order of Australia,The Honourable Dr Jane Diane LOMAX-SMITH,Australia Day 2013 Honours List,G,For significant service to the Parliament and the community of South Australia.,Australian politician (born 1950),https://en.wikipedia.org/wiki/Jane_Lomax-Smith,NA,1
Jane Mathews,AO,2005,2017,2017-11-01,2005-06-13,Yes,2005-06-13,2005-06-13,2005,4524,12,Post,F,NSW,55681445,Officer of the Order of Australia,The Honourable Justice Jane Hamilton MATHEWS,The Queen's Birthday 2005 Honours List,G,"For service to the judiciary, to the legal profession, to the University of New South Wales, and to music.",Australian judge,https://en.wikipedia.org/wiki/Jane_Mathews,NA,1
Jane McGrath,AM,2008,2008,2008-06-23,2008-01-26,Yes,2008-01-26,2008-01-26,2008,149,0,Post,F,NSW,18087958,Member of the Order of Australia,Mrs Jane Louise McGRATH,Australia Day 2008 Honours List,G,For service to community health through support for women with breast cancer and the establishment of the McGrath Foundation.,British campaigner,https://en.wikipedia.org/wiki/Jane_McGrath,NA,1
Jane Singleton,AM,2005,2020,2020-06-30,2005-06-13,Yes,2005-06-13,2005-06-13,2005,5496,15,Post,F,NSW,64419210,Member of the Order of Australia,Ms Jane SINGLETON,The Queen's Birthday 2005 Honours List,G,"For service to the media and to the community through a range of industry, arts, charitable and consumer organisations.","Australian broadcasting and print journalist, company director",https://en.wikipedia.org/wiki/Jane_Singleton,NA,1
Jane Turner,OAM,2020,2005,2005-05-18,2020-01-26,Yes,2020-01-26,2020-01-26,2020,-5366,-15,Post,F,VIC,1903779,Medal of the Order of Australia,Ms Jane TURNER,Australia Day 2020 Honours List,G,"For service to the performing arts as a writer, actor and comedian.",Australian comedian,https://en.wikipedia.org/wiki/Jane_Turner,NA,1
Janelle Falzon,OAM,1997,2011,2011-09-10,1997-01-26,Yes,1997-01-26,2001-01-15,2001,3890,10,Pre,F,NSW,33038897,Medal of the Order of Australia,Miss Janelle Cherie FALZON,Australia Day 1997 Honours List,G,In recognition of service to sport as a gold medalist at the Atlanta Paralympic Games 1996,Australian Paralympian,https://en.wikipedia.org/wiki/Janelle_Falzon,NA,1
Janelle Lindsay,OAM,2005,2011,2011-10-04,2005-01-26,Yes,2005-01-26,2005-01-26,2005,2442,6,Post,F,NSW,33299301,Medal of the Order of Australia,Ms Janelle Mary LINDSAY,Australia Day 2005 Honours List,NA,For service to sport as a Gold Medallist at the Athens 2004 Paralympic Games.,Australia Paralympic tandem cycling pilot,https://en.wikipedia.org/wiki/Janelle_Lindsay,NA,1
Janet Holmes à Court,AC,2007,2005,2005-05-12,2007-01-26,Yes,2007-01-26,2007-01-26,2007,-624,-2,Post,F,WA,1874941,Companion of the Order of Australia,Mrs Janet Lee HOLMES √† COURT,Australia Day 2007 Honours List,G,"For service to business, particularly as a leader in the construction, wine and cattle industries, to the advancement of Western Australia's musical and theatre culture, to the visual arts, and to the community.",Australian businessperson,https://en.wikipedia.org/wiki/Janet_Holmes_%C3%A0_Court,NA,1
Janet McCalman,AC,2018,2018,2018-01-29,2018-01-26,Yes,2018-01-26,2018-01-26,2018,3,0,Post,F,VIC,56443956,Companion of the Order of Australia,Professor Janet Susan McCALMAN,Australia Day 2018 Honours List,G,"For eminent service to education, particularly in the field of social history, as a leading academic, researcher and author, as a contributor to multi-disciplinary curriculum development, and through the promotion of history to the wider community.",Australian historian,https://en.wikipedia.org/wiki/Janet_McCalman,NA,1
Janet Powell,AM,2012,2004,2004-10-10,2012-06-11,Yes,2012-06-11,2012-06-11,2012,-2801,-8,Post,F,VIC,1054185,Member of the Order of Australia,Ms Janet Frances POWELL,The Queen's Birthday 2012 Honours List,G,"For service to the Parliament of Australia, and to the community, particularly through leadership of YWCA Victoria.",Australian politician,https://en.wikipedia.org/wiki/Janet_Powell,NA,1
Janet Tyler (nurse),OAM,2015,2012,2012-06-04,2015-01-26,Yes,2015-01-26,2015-01-26,2015,-966,-3,Post,F,SA,36031590,Medal of the Order of Australia,Ms Janet TYLER,Australia Day 2015 Honours List,G,"For service to nursing, particularly in the field of spinal injury rehabilitation.",NA,https://en.wikipedia.org/wiki/Janet_Tyler_(nurse),NA,1
Janice Crosio,AM,2006,2004,2004-03-28,2006-01-26,Yes,2006-01-26,2006-01-26,2006,-669,-2,Post,F,NSW,559446,Member of the Order of Australia,"The Honourable Janice Ann CROSIO, MBE",Australia Day 2006 Honours List,G,"For service to the Australian and New South Wales parliaments, to local government, and to the community of Fairfield.",Australian politician,https://en.wikipedia.org/wiki/Janice_Crosio,NA,1
Janice Reid,AC,2015,2018,2018-03-02,2015-01-26,Yes,1998-01-26,2001-01-15,2001,6255,17,Pre,F,NSW,56725893,Companion of the Order of Australia,Professor Janice Clare REID,Australia Day 2015 Honours List,G,"For eminent service to the tertiary education sector through executive roles, as an advocate for equitable access to educational opportunities, particularly for Indigenous, refugee and lower socio-economic communities, and to health, medical and health care research and cultural bodies.",Australian academic and medical anthropologist,https://en.wikipedia.org/wiki/Janice_Reid,NA,2
Janine Haines,AM,2001,2004,2004-09-23,2001-06-11,Yes,2001-06-11,2001-06-11,2001,1200,3,Post,F,SA,1010283,Member of the Order of Australia,Ms Janine HAINES,The Queen's Birthday 2001 Honours List,G,"For service to the Australian Parliament and to politics, particularly as Parliamentary Leader of the Australian Democrats, and to the community.",Australian politician,https://en.wikipedia.org/wiki/Janine_Haines,NA,1
Janine Shepherd,AM,2001,2004,2004-09-05,2001-01-26,Yes,2001-01-26,2001-01-26,2001,1318,3,Post,F,NSW,959022,Member of the Order of Australia,Ms Janine Lee SHEPHERD,Australia Day 2001 Honours List,G,"For service to the community through inspiring others to strive in circumstances of the greatest difficulty, and through promoting the work of the Australasian Spinal Research Trust in finding a cure for spinal cord injury.",Australian cross country skier,https://en.wikipedia.org/wiki/Janine_Shepherd,NA,1
Jason Lees,OAM,2014,2011,2011-07-18,2014-01-26,Yes,2014-01-26,2014-01-26,2014,-923,-3,Post,M,VIC,32456646,Medal of the Order of Australia,Mr Jason Peter LEES,Australia Day 2014 Honours List,G,For service to sport as a gold medallist at the London 2012 Paralympic Games.,Australian wheelchair rugby player,https://en.wikipedia.org/wiki/Jason_Lees,NA,1
Jason McCartney (footballer),OAM,2003,2005,2005-12-15,2003-10-17,Yes,2003-10-17,2003-10-17,2003,790,2,Post,M,VIC,3422976,Medal of the Order of Australia,Mr Jason Paul McCARTNEY,Special List 2003 Honours List,NA,"For service to the community, particularly through support for the recovery of victims and families affected by the bombings which occurred in Bali on 12 October 2002, and as a fundraiser for trauma services.",Australian rules footballer,https://en.wikipedia.org/wiki/Jason_McCartney_(footballer),NA,1
Jayashri Kulkarni,AM,2019,2019,2019-02-14,2019-06-10,Yes,2019-06-10,2019-06-10,2019,-116,0,Post,F,VIC,59953737,Member of the Order of Australia,Professor Jayashri KULKARNI,Queen's Birthday 2019 Honours List,G,For significant service to medicine in the field of psychiatry.,Professor of Psychiatry,https://en.wikipedia.org/wiki/Jayashri_Kulkarni,NA,1
Jayden Warn,OAM,2017,2014,2014-08-27,2017-01-26,Yes,2017-01-26,2017-01-26,2017,-883,-3,Post,M,VIC,43671089,Medal of the Order of Australia,Mr Jayden Daniel WARN,Australia Day 2017 Honours List,G,For service to sport as a gold medallist at the Rio 2016 Paralympic Games,Australian wheelchair rugby player,https://en.wikipedia.org/wiki/Jayden_Warn,NA,1
Jean Aileen Little,OAM,1997,2013,2013-09-11,1997-01-26,Yes,1997-01-26,2001-01-15,2001,4622,12,Pre,F,QLD,40500994,Medal of the Order of Australia,Ms Jean Aileen JANS,Australia Day 1997 Honours List,G,For service to Aboriginal health and community services.,Aboriginal advocate,https://en.wikipedia.org/wiki/Jean_Aileen_Little,NA,1
Jean Battersby,AO,1986,2009,2009-03-05,1986-06-09,Yes,1986-06-09,2001-01-15,2001,2971,8,Pre,F,NSW,21832634,Officer of the Order of Australia,Dr Jean Anges BATTERSBY,The Queen's Birthday 1986 Honours List,G,In recognition of service to the arts and to public service,Australian arts executive,https://en.wikipedia.org/wiki/Jean_Battersby,NA,1
Jean Blackburn,AO,1976,2018,2018-11-03,1976-01-26,Yes,1976-01-26,2001-01-15,2001,6501,17,Pre,F,SA,58952282,Officer of the Order of Australia,Mrs Jean Edna BLACKBURN,Australia Day 1976 Honours List,G,For distinguished service of a high degree to education.,Australian educationalist,https://en.wikipedia.org/wiki/Jean_Blackburn,NA,1
Jean Brodie-Hall,AM,2001,2018,2018-04-24,2001-01-26,Yes,2001-01-26,2001-01-26,2001,6297,17,Post,F,WA,57217792,Member of the Order of Australia,Lady Jean BRODIE-HALL,Australia Day 2001 Honours List,G,"For service to conservation and the environment, particularly through the development of techniques for landscape planning in arid areas, and to professional development through the Australian Institute of Landscape Architects.",Australian landscape architect,https://en.wikipedia.org/wiki/Jean_Brodie-Hall,NA,1
Jean Calder,AC,2005,2018,2018-07-26,2005-01-26,Yes,2005-01-26,2005-01-26,2005,4929,13,Post,F,Other,57999494,Companion of the Order of Australia,Dr Jean Elizabeth CALDER,Australia Day 2005 Honours List,NA,"For humanitarian service in the Middle East, particularly to people with disabilities living in refugee camps in Lebanon and Gaza and disadvantaged areas in Cairo, to international relations, and to academic and professional training in the fields of education and rehabilitation.",Australian humanitarian,https://en.wikipedia.org/wiki/Jean_Calder,NA,1
Jean Gandois,AM,1995,2006,2006-12-26,1995-03-30,Yes,1995-03-30,2001-01-15,2001,2171,5,Pre,M,Other,8617328,Member of the Order of Australia,Mr Jean GANDOIS,NA,HG,"For service to Australian-French relations, particularly in the business sphere.",French businessman,https://en.wikipedia.org/wiki/Jean_Gandois,NA,1
Jean Hay,AM,1998,2016,2016-05-21,1998-06-08,Yes,1998-06-08,2001-01-15,2001,5605,15,Pre,F,NSW,50597624,Member of the Order of Australia,Mrs Jean Francis HAY,The Queen's Birthday 1998 Honours List,G,"FOR SERVICE TO THE MANLY COMMUNITY THROUGH LOCAL GOVERNMENT, COMMUNITY ACTION AND SPORTING GROUPS, AND AS A FUNDRAISER FOR WELFARE AND HEALTH EDUCATION PROGRAMMES. AM S242 1998",Australian local government politician,https://en.wikipedia.org/wiki/Jean_Hay,NA,1
Jean Isherwood,OAM,1994,2006,2006-08-02,1994-01-26,Yes,1994-01-26,2001-01-15,2001,2025,5,Pre,F,NSW,6226007,Medal of the Order of Australia,Miss Jean de Courtenay ISHERWOOD,Australia Day 1994 Honours List,G,For service to the arts as a painter in oils and watercolours.,Australian artist (1911-2006),https://en.wikipedia.org/wiki/Jean_Isherwood,NA,1
Jean Marion Tom,AO,1993,2019,2019-03-27,1993-01-26,Yes,1993-01-26,2001-01-15,2001,6645,18,Pre,F,VIC,60341847,Officer of the Order of Australia,Mrs Jean Marion TOM,Australia Day 1993 Honours List,G,AO/FOR SERVICE TO THE WELFARE OF WOMEN IN RURAL AND REMOTE AUSTRALIA THROUGH THE COUNTRY WOMEN'S ASSOCIATION. (JAN 93) AUST DAY HONOURS,Australian community worker,https://en.wikipedia.org/wiki/Jean_Marion_Tom,NA,1
Jean McLean (politician),AM,2019,2011,2011-09-30,2019-01-26,Yes,2019-01-26,2019-01-26,2019,-2675,-8,Post,F,VIC,33257330,Member of the Order of Australia,Mrs Jean McLEAN,Australia Day 2019 Honours List,G,"For significant service to international relations, and to the Parliament of Victoria.",Member of the Victorian Legislative Council,https://en.wikipedia.org/wiki/Jean_McLean_(politician),NA,1
Jean Melzer,OAM,2004,2005,2005-09-18,2004-01-26,Yes,2004-01-26,2004-01-26,2004,601,1,Post,F,VIC,2699748,Medal of the Order of Australia,Mrs Jean Isobelle MELZER,Australia Day 2004 Honours List,NA,"For service to the community and to education, particularly through the University of the Third Age, and to environmental conservation in the Cape Paterson area.",Australian politician and anti-nuclear and antiwar activist,https://en.wikipedia.org/wiki/Jean_Melzer,NA,1
Jean Skuse,AO,1992,2020,2020-03-19,1992-01-26,Yes,1992-01-26,2001-01-15,2001,7003,19,Pre,F,NSW,63418535,Officer of the Order of Australia,"Ms Jean Enid SKUSE, MBE",Australia Day 1992 Honours List,G,"AO/AUST DAY 1992 (GENERAL DIVISION) FOR SERVICE TO RELIGION, PARTICULARLY THROUGH THE WORLD COUNCIL OF CHURCHES, AND TO WOMEN'S AFFAIRS. MBE/QUEENS BIRTHDAY 1979 NSW LIST",Australian church worker,https://en.wikipedia.org/wiki/Jean_Skuse,NA,1
Jeanette Covacevich,AM,1995,2017,2017-03-06,1995-06-12,Yes,1995-06-12,2001-01-15,2001,5894,16,Pre,F,QLD,53396749,Member of the Order of Australia,Ms Jeanette Adelaide COVACEVICH,The Queen's Birthday 1995 Honours List,G,"In recognition of service to science, particularly in the field of herpetology and to conservation",NA,https://en.wikipedia.org/wiki/Jeanette_Covacevich,NA,1
Jeff Fatt,AM,2010,2004,2004-05-08,2010-01-26,Yes,2010-01-26,2010-01-26,2010,-2089,-6,Post,M,Other,642584,Member of the Order of Australia,Mr Jeffrey Wayne FATT,Australia Day 2010 Honours List,G,"For service to the arts, particularly children's entertainment, and to the community as a benefactor and supporter of a range of charities.",Australian musician and actor,https://en.wikipedia.org/wiki/Jeff_Fatt,NA,1
Jeff Hardy (swimmer),OAM,1997,2011,2011-09-29,1997-01-26,Yes,1997-01-26,2001-01-15,2001,3909,10,Pre,M,QLD,33247528,Medal of the Order of Australia,Mr Jeffrey Lewis HARDY,Australia Day 1997 Honours List,G,"OAM. FOR SERVICE TO SPORT AS A GOLD MEDALLIST AT THE ATLANTA PARALYMPIC GAMES, 1996. GAZ S13. AD1997",Australian swimmer,https://en.wikipedia.org/wiki/Jeff_Hardy_(swimmer),NA,1
Jeff Harmer,AO,2010,2014,2014-01-10,2010-01-26,Yes,2010-01-26,2010-01-26,2010,1445,4,Post,M,ACT,41603467,Officer of the Order of Australia,Dr Jeffrey Allan HARMER,Australia Day 2010 Honours List,G,"For service to public administration through leadership of key policy initiatives, particularly programs for housing assistance, child support, mental health, the disabled and insurance reform, and through initiatives for Indigenous Australians.",Public servant,https://en.wikipedia.org/wiki/Jeff_Harmer,NA,1
Jeff Hook,OAM,2012,2006,2006-05-04,2012-01-26,Yes,2012-01-26,2012-01-26,2012,-2093,-6,Post,M,VIC,5007758,Medal of the Order of Australia,Mr Geoffrey Raynor HOOK,Australia Day 2012 Honours List,G,"For service to the print media as a political and social commentator, and as a cartoonist.",Australian artist,https://en.wikipedia.org/wiki/Jeff_Hook,NA,1
Jeff Kennett,AC,2005,2002,2002-07-23,2005-01-26,Yes,2005-01-26,2005-01-26,2005,-918,-3,Post,M,VIC,63591,Companion of the Order of Australia,The Honourable Jeffrey Gibb KENNETT,Australia Day 2005 Honours List,NA,"For service to the Victorian Parliament and the introduction of initiatives for economic and social benefit, to business and commerce, and to the community in the development of the arts, sport and mental health awareness strategies.","Australian politician; Premier of Victoria, President of Hawthorn Football Club",https://en.wikipedia.org/wiki/Jeff_Kennett,NA,1
Jeff Sengelman,AM,2011,2019,2019-10-25,2011-06-13,Yes,2011-06-13,2011-06-13,2011,3056,8,Post,M,NSW,62154875,Member of the Order of Australia,Brigadier Jeffery John SENGELMAN,The Queen's Birthday 2011 Honours List,M,"For exceptional service as the Deputy Special Operations Commander Australia, Chief of Staff in Special Operations Command, and Commander of the 6th Brigade.",Australian army officer,https://en.wikipedia.org/wiki/Jeff_Sengelman,NA,1
Jeffrey Goldsworthy,AM,2020,2011,2011-09-19,2020-01-26,Yes,2020-01-26,2020-01-26,2020,-3051,-9,Post,M,VIC,33136239,Member of the Order of Australia,Emeritus Professor Jeffrey Denys GOLDSWORTHY,Australia Day 2020 Honours List,G,"For significant service to education, particularly to legal history and philosophy.",Australian academic and legal philosopher,https://en.wikipedia.org/wiki/Jeffrey_Goldsworthy,NA,1
Jeffrey Heath (Australian disability advocate),AM,2003,2020,2020-03-27,2003-01-26,Yes,2003-01-26,2003-01-26,2003,6270,17,Post,M,SA,63489786,Member of the Order of Australia,Mr Jeffrey Stewart HEATH,Australia Day 2003 Honours List,NA,For service to people with disabilities as an advocate for improved services and through the publication of Link magazine.,Australian Paralympic archer and disability advocate,https://en.wikipedia.org/wiki/Jeffrey_Heath_(Australian_disability_advocate),NA,1
Jeffrey Lee,AM,2012,2007,2007-07-18,2012-01-26,Yes,2012-01-26,2012-01-26,2012,-1653,-5,Post,M,NT,12316448,Member of the Order of Australia,Mr Jeffrey LEE,Australia Day 2012 Honours List,G,"For service to conservation and the environment in the Northern Territory, particularly through advocacy roles for the inclusion of the Djok Gundjeihmi country as a World Heritage area within Kakadu National Park.",Sole member of the Djok clan,https://en.wikipedia.org/wiki/Jeffrey_Lee,NA,1
Jeffrey Lucy,AM,2001,2006,2006-06-09,2001-01-26,Yes,2001-01-26,2001-01-26,2001,1960,5,Post,M,SA,5491058,Member of the Order of Australia,Mr Jeffrey John LUCY,Australia Day 2001 Honours List,G,"For service to the accounting profession, particularly through the Institute of Chartered Accountants, to the business sector as an adviser on corporate law and taxation reform, and to the community.",Australian accountant,https://en.wikipedia.org/wiki/Jeffrey_Lucy,NA,1
Jeffrey Miles,AO,1994,2008,2008-01-10,1994-06-10,Yes,1994-06-10,2001-01-15,2001,2551,7,Pre,M,ACT,15141320,Officer of the Order of Australia,The Honourable Justice Jeffrey Allan MILES,The Queen's Birthday 1994 Honours List,G,AO/FOR SERVICE TO THE LAW AND TO THE COMMUNITY. QUEEN'S B'DAY 1994,Australian judge,https://en.wikipedia.org/wiki/Jeffrey_Miles,NA,1
Jeffrey Smart,AO,2001,2004,2004-11-22,2001-06-11,Yes,2001-06-11,2001-06-11,2001,1260,3,Post,M,Other,1196811,Officer of the Order of Australia,Mr Jeffrey Edson SMART,The Queen's Birthday 2001 Honours List,G,"For service to the visual arts, particularly through his distinctive portrayal of the urban landscape, and through the encouragement offered to young artists.",Australian artist known for his modernist depictions of urban landscapes (1921-2013),https://en.wikipedia.org/wiki/Jeffrey_Smart,NA,1
Jenn Morris (field hockey),OAM,1997,2007,2007-07-07,1997-01-26,Yes,1997-01-26,2001-01-15,2001,2364,6,Pre,F,WA,12130111,Medal of the Order of Australia,Ms Jennifer Lyn MORRIS,Australia Day 1997 Honours List,G,OAM. FOR SERVICE TO SPORT AS A GOLD MEDALLIST AT THE ATLANTA OLYMPIC GAMES 1996. GAZ S13. AUST DAY 1997,field hockey player,https://en.wikipedia.org/wiki/Jenn_Morris_(field_hockey),NA,1
Jenni Banks,OAM,2016,2019,2019-04-24,2016-01-26,Yes,2016-01-26,2016-01-26,2016,1184,3,Post,F,Other,60574104,Medal of the Order of Australia,Ms Jennifer Patricia BANKS,Australia Day 2016 Honours List,G,"For service to sport, and to people with a disability.",NA,https://en.wikipedia.org/wiki/Jenni_Banks,NA,1
Jennie George,AO,2013,2004,2004-03-31,2013-06-10,Yes,2013-06-10,2013-06-10,2013,-3358,-9,Post,F,NSW,566008,Officer of the Order of Australia,Ms Jennie GEORGE,The Queen's Birthday 2013 Honours List,G,"For distinguished service to industrial relations, to the Parliament of Australia, and to the community.",Australian politician and union official,https://en.wikipedia.org/wiki/Jennie_George,NA,1
Jennie Ponsford,AO,2017,2014,2014-11-06,2017-06-12,Yes,2017-06-12,2017-06-12,2017,-949,-3,Post,F,VIC,44314774,Officer of the Order of Australia,Professor Jennie Louise PONSFORD,The Queen's Birthday 2017 Honours List,G,"For distinguished service to medical research in the field of neuropsychology, and through seminal advances in the diagnosis, treatment and rehabilitation of patients with traumatic brain injuries",Australian neuroscience researcher,https://en.wikipedia.org/wiki/Jennie_Ponsford,NA,1
Jennifer Cashmore,AM,1998,2006,2006-07-06,1998-01-26,Yes,1998-01-26,2001-01-15,2001,1998,5,Pre,F,SA,5859170,Member of the Order of Australia,The Honourable Jennifer Lilian CASHMORE,Australia Day 1998 Honours List,G,"FOR SERVICE TO THE COMMUNITY, PARTICULARLY IN THE AREAS OF PALLIATIVE CARE, WOMEN'S ISSUES, AND ECONOMIC DEVELOPMENT, AND TO THE SOUTH AUSTRALIAN PARLIAMENT. AM S14 1998",Australian politician,https://en.wikipedia.org/wiki/Jennifer_Cashmore,NA,1
Jennifer Coate,AO,2019,2007,2007-12-12,2019-01-26,Yes,2019-01-26,2019-01-26,2019,-4063,-12,Post,F,VIC,14669764,Officer of the Order of Australia,The Honourable Justice Jennifer Ann COATE,Australia Day 2019 Honours List,G,"For distinguished service to the law, and to the judiciary, to legal administration, and to child and youth justice.",Australian judge,https://en.wikipedia.org/wiki/Jennifer_Coate,NA,1
Jennifer Holliday (softball),AM,2016,2009,2009-04-13,2016-01-26,Yes,2016-01-26,2016-01-26,2016,-2479,-7,Post,F,VIC,22393838,Member of the Order of Australia,Mrs Jennifer Kaye HOLLIDAY,Australia Day 2016 Honours List,G,"For significant service to softball as a player and coach at the national and international level, and through senior administrative roles.",softball player,https://en.wikipedia.org/wiki/Jennifer_Holliday_(softball),NA,1
Jennifer L. Martin,AC,2018,2014,2014-08-13,2018-01-26,Yes,2018-01-26,2018-01-26,2018,-1262,-4,Post,F,QLD,43548248,Companion of the Order of Australia,Professor Jennifer Louise MARTIN,Australia Day 2018 Honours List,G,"For eminent service to science, and to scientific research, particularly in the field of biochemistry and protein crystallography applied to drug-resistant bacteria, as a role model, and as an advocate for gender equality in science.",Australian molecular biologist,https://en.wikipedia.org/wiki/Jennifer_L._Martin,NA,1
Jennifer Rowe,AC,2019,2005,2005-07-01,2019-01-26,Yes,2019-01-26,2019-01-26,2019,-4957,-14,Post,F,NSW,2148705,Companion of the Order of Australia,Ms Jennifer June ROWE,Australia Day 2019 Honours List,G,"For eminent service to literature as an author, particularly in the children's fiction and adult mystery genres.","Australian fiction writer, for children as Emily Rodda (pseudonym), mystery for adults as Jennifer Rowe (real name)",https://en.wikipedia.org/wiki/Jennifer_Rowe,NA,1
Jennifer Strauss,AM,2007,2007,2007-01-09,2007-06-11,Yes,2007-06-11,2007-06-11,2007,-153,0,Post,F,VIC,8839965,Member of the Order of Australia,Dr Jennifer STRAUSS,The Queen's Birthday 2007 Honours List,G,"For service to education as an academic and scholar in the field of Australian literature and poetry, and to a range of organisations involved in women's issues and industrial relations.",Australian poet and academic,https://en.wikipedia.org/wiki/Jennifer_Strauss,NA,1
Jenny Armstrong,OAM,2001,2008,2008-05-20,2001-01-26,Yes,2001-01-26,2001-01-26,2001,2671,7,Post,F,NSW,17533332,Medal of the Order of Australia,Mrs Jennifer Margaret ARMSTRONG,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,Australian yacht racer,https://en.wikipedia.org/wiki/Jenny_Armstrong,NA,1
Jenny Graves,AO,2010,2013,2013-10-28,2010-01-26,Yes,2010-01-26,2010-01-26,2010,1371,3,Post,F,VIC,40911748,Officer of the Order of Australia,Professor Jennifer Marshall GRAVES,Australia Day 2010 Honours List,G,"For service to scientific research in the field of genetics, particularly of Australian marsupials and monotremes and their relevance to international understanding of human evolution.",Australian geneticist,https://en.wikipedia.org/wiki/Jenny_Graves,NA,1
Jenny Gregory,AM,2010,2020,2020-09-21,2010-01-26,Yes,2010-01-26,2010-01-26,2010,3891,10,Post,F,WA,65375739,Member of the Order of Australia,Professor Jenny GREGORY,Australia Day 2010 Honours List,G,For service to the community as an historian and academic and through the promotion and preservation of local and regional history in Western Australia.,Western Australian history professor,https://en.wikipedia.org/wiki/Jenny_Gregory,NA,1
Jenny Kee,AO,2018,2009,2009-11-14,2018-06-11,Yes,2018-06-11,2018-06-11,2018,-3131,-9,Post,F,NSW,26178034,Officer of the Order of Australia,Ms Jennifer Margaret KEE,The Queen's Birthday 2018 Honours List,G,"For distinguished service to the Australian fashion industry as a textile artist and clothing designer, and through contributions to the environment and conservation.",Australian fashion designer,https://en.wikipedia.org/wiki/Jenny_Kee,NA,1
Jenny Morris (musician),OAM,2010,2004,2004-03-04,2010-01-26,Yes,2010-01-26,2010-01-26,2010,-2154,-6,Post,F,NSW,503240,Medal of the Order of Australia,Ms Jenny Patricia MORRIS,Australia Day 2010 Honours List,G,"For service to the arts, particularly music, and to the community through charitable organisations.",New Zealand singer,https://en.wikipedia.org/wiki/Jenny_Morris_(musician),NA,1
