url,pageid,displayName
https://en.wikipedia.org/wiki/Lee_Tarlamis,30064090,Lee Tarlamis
https://en.wikipedia.org/wiki/David_Walker_(historian),33147916,David Walker (historian)
https://en.wikipedia.org/wiki/Barbara_G._Briggs,4983304,Barbara G. Briggs
https://en.wikipedia.org/wiki/Linda_Jackson_(designer),26178169,Linda Jackson (designer)
https://en.wikipedia.org/wiki/Arman_Abrahimzadeh,56510178,Arman Abrahimzadeh
https://en.wikipedia.org/wiki/Robert_Murray_Smith,40366809,Robert Murray Smith
https://en.wikipedia.org/wiki/David_Smith_(Western_Australian_politician),50518443,David Smith (Western Australian politician)
https://en.wikipedia.org/wiki/Ian_Smith_(lobbyist),46410082,Ian Smith (lobbyist)
https://en.wikipedia.org/wiki/Deepak_Vinayak,53859896,Deepak Vinayak
https://en.wikipedia.org/wiki/Joseph_Assaf,31119431,Joseph Assaf
https://en.wikipedia.org/wiki/Dawn_Fraser,379878,Dawn Fraser
https://en.wikipedia.org/wiki/Dawn_Fraser_Swimming_Pool,58604104,Dawn Fraser Swimming Pool
https://en.wikipedia.org/wiki/Anne_Wills,36389606,Anne Wills
https://en.wikipedia.org/wiki/David_Cooper_(immunologist),50796390,David Cooper (immunologist)
https://en.wikipedia.org/wiki/Kathryn_Harby-Williams,3634727,Kathryn Harby-Williams
https://en.wikipedia.org/wiki/John_Hatzistergos,7800409,John Hatzistergos
https://en.wikipedia.org/wiki/Phillip_Thompson,55798984,Phillip Thompson
https://en.wikipedia.org/wiki/Ronald_Eric_Johnstone,17542288,Ronald Eric Johnstone
https://en.wikipedia.org/wiki/Roberta_Shepherd,55504852,Roberta Shepherd
https://en.wikipedia.org/wiki/Suzanne_Chambers,61615882,Suzanne Chambers
https://en.wikipedia.org/wiki/Shurlee_Swain,57722736,Shurlee Swain
https://en.wikipedia.org/wiki/Catherine_Branson,13609174,Catherine Branson
https://en.wikipedia.org/wiki/Gillian_Aldridge,25044275,Gillian Aldridge
https://en.wikipedia.org/wiki/Andrew_Murray_(Australian_politician),2889886,Andrew Murray (Australian politician)
https://en.wikipedia.org/wiki/John_Sharp_(Australian_politician),10257800,John Sharp (Australian politician)
https://en.wikipedia.org/wiki/Noel_Kelly_(rugby_league),15929020,Noel Kelly (rugby league)
https://en.wikipedia.org/wiki/Robin_Creyke,61739689,Robin Creyke
https://en.wikipedia.org/wiki/Geoffrey_Burnstock,13021390,Geoffrey Burnstock
https://en.wikipedia.org/wiki/Brian_Owler,44154854,Brian Owler
https://en.wikipedia.org/wiki/Sever_Sternhell,12257662,Sever Sternhell
https://en.wikipedia.org/wiki/Susan_M._Butler,57809537,Susan M. Butler
https://en.wikipedia.org/wiki/Terri_Cater,57664686,Terri Cater
https://en.wikipedia.org/wiki/Susan_Provan,57660730,Susan Provan
https://en.wikipedia.org/wiki/Erica_Smyth,43835860,Erica Smyth
https://en.wikipedia.org/wiki/San_Thang,57655202,San Thang
https://en.wikipedia.org/wiki/Jeremy_Fisher_(author),14684276,Jeremy Fisher (author)
https://en.wikipedia.org/wiki/Paul_Broughton,27909796,Paul Broughton
https://en.wikipedia.org/wiki/Keri_Craig-Lee,56925443,Keri Craig-Lee
https://en.wikipedia.org/wiki/Daryl_Melham,583502,Daryl Melham
https://en.wikipedia.org/wiki/John_Marshall_(swimmer),4793056,John Marshall (swimmer)
https://en.wikipedia.org/wiki/Ann_Carr-Boyd,30474385,Ann Carr-Boyd
https://en.wikipedia.org/wiki/John_B._Biggs,5324941,John B. Biggs
https://en.wikipedia.org/wiki/Richard_Francis-Bruce,3684813,Richard Francis-Bruce
https://en.wikipedia.org/wiki/Michael_Ebeid,33236108,Michael Ebeid
https://en.wikipedia.org/wiki/Peter_De_Waal,61094187,Peter De Waal
https://en.wikipedia.org/wiki/Anne_Warner_(politician),7332627,Anne Warner (politician)
https://en.wikipedia.org/wiki/Kathryn_Toohey,54209314,Kathryn Toohey
https://en.wikipedia.org/wiki/M._C._Ricklefs,11172111,M. C. Ricklefs
https://en.wikipedia.org/wiki/Ian_Robinson_(Australian_politician),17469235,Ian Robinson (Australian politician)
https://en.wikipedia.org/wiki/John_McLaren_(cricketer),3586676,John McLaren (cricketer)
https://en.wikipedia.org/wiki/Joe_Tripodi,3326168,Joe Tripodi
https://en.wikipedia.org/wiki/Cate_Blanchett,160126,Cate Blanchett
