shortName,wpURL,wpID,wdID,WPPageCreate
susan kenny,https://en.wikipedia.org/wiki/Susan_Kenny,34902875,Q16730730,2012-02-27
sean dorney,https://en.wikipedia.org/wiki/Sean_Dorney,58217317,Q56249737,2018-08-21
jan sardi,https://en.wikipedia.org/wiki/Jan_Sardi,26411307,Q3161747,2010-03-03
bruce chapman (australian economist),https://en.wikipedia.org/wiki/Bruce_Chapman_(Australian_economist),46832093,Q20011413,NA
liz constable,https://en.wikipedia.org/wiki/Liz_Constable,17872726,Q6660082,2008-06-10
martin tenni,https://en.wikipedia.org/wiki/Martin_Tenni,41253531,Q16095896,2013-12-03
alan eggleston,https://en.wikipedia.org/wiki/Alan_Eggleston,2148237,Q4706579,2005-07-01
judyth watson,https://en.wikipedia.org/wiki/Judyth_Watson,35961269,Q14954682,2012-05-28
alison harcourt,https://en.wikipedia.org/wiki/Alison_Harcourt,58692342,Q57079384,2018-10-08
marita cheng,https://en.wikipedia.org/wiki/Marita_Cheng,34490627,Q6765739,2012-01-25
maree smith,https://en.wikipedia.org/wiki/Maree_Smith,50822579,Q24851696,2016-06-16
michelle simmons,https://en.wikipedia.org/wiki/Michelle_Simmons,37890988,Q16885683,2012-12-10
frances separovic,https://en.wikipedia.org/wiki/Frances_Separovic,43557861,Q18166645,2014-08-14
linda richards (neuroscientist),https://en.wikipedia.org/wiki/Linda_Richards_(neuroscientist),44314974,Q19877853,NA
leo radom,https://en.wikipedia.org/wiki/Leo_Radom,3536249,Q6524158,2005-12-27
luc longley,https://en.wikipedia.org/wiki/Luc_Longley,157453,Q705993,2002-12-13
kate palmer,https://en.wikipedia.org/wiki/Kate_Palmer,7660538,Q6375711,2006-10-28
adrian david cheok,https://en.wikipedia.org/wiki/Adrian_David_Cheok,63910206,Q4684966,2020-05-10
michael davis (australian lawyer),https://en.wikipedia.org/wiki/Michael_Davis_(Australian_lawyer),61046585,Q64623642,NA
martin bowles,https://en.wikipedia.org/wiki/Martin_Bowles,17157761,Q6775037,2008-04-28
derek byerlee,https://en.wikipedia.org/wiki/Derek_Byerlee,61040561,Q64620762,2019-06-14
brenda wilson,https://en.wikipedia.org/wiki/Brenda_Wilson,43591693,Q18166244,2014-08-18
lex doyle,https://en.wikipedia.org/wiki/Lex_Doyle,61080151,Q37838595,2019-06-19
monika schmidt,https://en.wikipedia.org/wiki/Monika_Schmidt,55751306,Q43378568,2017-11-09
annabelle bennett,https://en.wikipedia.org/wiki/Annabelle_Bennett,34816044,Q4767710,2012-02-20
reginald barrett,https://en.wikipedia.org/wiki/Reginald_Barrett,32571730,Q7308759,2011-07-29
debra mullins,https://en.wikipedia.org/wiki/Debra_Mullins,40734890,Q16732990,2013-10-07
john finnis,https://en.wikipedia.org/wiki/John_Finnis,2007218,Q3312283,2005-06-08
ruth bishop,https://en.wikipedia.org/wiki/Ruth_Bishop,15348350,Q5397741,2008-01-21
andrew biankin,https://en.wikipedia.org/wiki/Andrew_Biankin,61023565,Q38802580,2019-06-12
