shortName,wpURL,wpID,wdID,WPPageCreate
basil scarsella,https://en.wikipedia.org/wiki/Basil_Scarsella,30222005,Q4867255,2010-12-28
ron radford,https://en.wikipedia.org/wiki/Ron_Radford,7479079,Q7364289,2006-10-17
tom lewis (author),https://en.wikipedia.org/wiki/Tom_Lewis_(author),15999908,Q7816580,NA
neville thiele,https://en.wikipedia.org/wiki/Neville_Thiele,31925612,Q2638527,2005-01-11
jillian broadbent,https://en.wikipedia.org/wiki/Jillian_Broadbent,41275448,Q16123989,2013-12-05
doug anthony,https://en.wikipedia.org/wiki/Doug_Anthony,400912,Q1251694,2003-12-14
roderick carnegie,https://en.wikipedia.org/wiki/Roderick_Carnegie,23822334,Q7356597,2009-08-01
richard court,https://en.wikipedia.org/wiki/Richard_Court,931827,Q3305274,2004-08-26
michael field (politician),https://en.wikipedia.org/wiki/Michael_Field_(politician),2488071,Q6830287,NA
primrose potter,https://en.wikipedia.org/wiki/Primrose_Potter,38854109,Q16091974,2013-03-19
bob baxt,https://en.wikipedia.org/wiki/Bob_Baxt,14623470,Q4931763,2007-12-09
robert brooking,https://en.wikipedia.org/wiki/Robert_Brooking,40714653,Q16727677,2013-10-05
geraldine doogue,https://en.wikipedia.org/wiki/Geraldine_Doogue,8965354,Q5549739,2007-01-17
thancoupie,https://en.wikipedia.org/wiki/Thancoupie,49693140,Q23806338,2016-03-09
andrea hull,https://en.wikipedia.org/wiki/Andrea_Hull,20203188,Q4755125,2008-11-14
ken inglis,https://en.wikipedia.org/wiki/Ken_Inglis,4145179,Q6387850,2006-02-21
dean jaensch,https://en.wikipedia.org/wiki/Dean_Jaensch,2799471,Q5246242,2005-09-30
terry jackman,https://en.wikipedia.org/wiki/Terry_Jackman,42812563,Q16935033,2014-05-20
toni lamond,https://en.wikipedia.org/wiki/Toni_Lamond,17046983,Q7821292,2008-04-22
john mitchell (administrator),https://en.wikipedia.org/wiki/John_Mitchell_(administrator),28329556,Q6248996,NA
paula duncan,https://en.wikipedia.org/wiki/Paula_Duncan,2520646,Q9057059,2005-08-23
robert champion de crespigny,https://en.wikipedia.org/wiki/Robert_Champion_de_Crespigny,5783406,Q7342854,2006-07-01
john doyle (judge),https://en.wikipedia.org/wiki/John_Doyle_(judge),815139,Q6230056,NA
herb elliott,https://en.wikipedia.org/wiki/Herb_Elliott,409149,Q472503,2003-12-20
kenneth hayne,https://en.wikipedia.org/wiki/Kenneth_Hayne,1186353,Q6390196,2004-11-19
kay hallahan,https://en.wikipedia.org/wiki/Kay_Hallahan,27987443,Q6380197,2010-07-09
george szekeres,https://en.wikipedia.org/wiki/George_Szekeres,2563194,Q177504,2005-08-28
george szekeres medal,https://en.wikipedia.org/wiki/George_Szekeres_Medal,23270711,Q5545011,2009-06-18
australian mathematical society,https://en.wikipedia.org/wiki/Australian_Mathematical_Society,4579582,Q781585,2006-03-31
ian wilson (politician),https://en.wikipedia.org/wiki/Ian_Wilson_(politician),2917166,Q5983284,NA
mike ahern (australian politician),https://en.wikipedia.org/wiki/Mike_Ahern_(Australian_politician),1689136,Q3313187,NA
ronald drayton brown,https://en.wikipedia.org/wiki/Ronald_Drayton_Brown,52720414,Q28076403,2016-12-29
beryl nashar,https://en.wikipedia.org/wiki/Beryl_Nashar,51395339,Q26702224,2016-08-22
clifford possum tjapaltjarri,https://en.wikipedia.org/wiki/Clifford_Possum_Tjapaltjarri,2292559,Q440221,2005-07-23
mike willesee,https://en.wikipedia.org/wiki/Mike_Willesee,27898959,Q6849275,2006-04-29
alan coates,https://en.wikipedia.org/wiki/Alan_Coates,46882024,Q20084206,2015-06-03
anne hepburn,https://en.wikipedia.org/wiki/Anne_Hepburn,52171075,Q27678467,2016-11-02
edgar britt,https://en.wikipedia.org/wiki/Edgar_Britt,15237796,Q5337142,2008-01-15
ray hadley,https://en.wikipedia.org/wiki/Ray_Hadley,1110731,Q7297571,2004-10-28
nicholas euclid,https://en.wikipedia.org/wiki/Nicholas_Euclid,23952752,Q7025355,2009-08-12
pinchus feldman,https://en.wikipedia.org/wiki/Pinchus_Feldman,3895050,Q7194945,2006-01-30
bruce peake,https://en.wikipedia.org/wiki/Bruce_Peake,47918874,Q21095596,2015-09-24
gwyn hanssen pigott,https://en.wikipedia.org/wiki/Gwyn_Hanssen_Pigott,14683910,Q5623774,2007-12-05
george bornemissza,https://en.wikipedia.org/wiki/George_Bornemissza,24064820,Q5537113,2009-08-21
david ashton (botanist),https://en.wikipedia.org/wiki/David_Ashton_(botanist),3230759,Q5230887,NA
ian lowe,https://en.wikipedia.org/wiki/Ian_Lowe,9623824,Q5982090,2007-02-21
dianne yerbury,https://en.wikipedia.org/wiki/Dianne_Yerbury,1996713,Q5271711,2005-06-05
elizabeth anne reid,https://en.wikipedia.org/wiki/Elizabeth_Anne_Reid,27842975,Q5362323,2010-06-25
james dunn (diplomat),https://en.wikipedia.org/wiki/James_Dunn_(diplomat),52431307,Q28016690,NA
judith whitworth,https://en.wikipedia.org/wiki/Judith_Whitworth,57882111,Q55462162,2018-07-12
janine haines,https://en.wikipedia.org/wiki/Janine_Haines,1010283,Q6154549,2004-09-23
hilary mcphee,https://en.wikipedia.org/wiki/Hilary_McPhee,33345575,Q5761026,2011-10-08
jackie huggins,https://en.wikipedia.org/wiki/Jackie_Huggins,22978742,Q6116415,2009-05-27
jim carlton,https://en.wikipedia.org/wiki/Jim_Carlton,9401726,Q6194062,2007-02-09
john yu,https://en.wikipedia.org/wiki/John_Yu,1138584,Q9077601,2004-11-06
john mathwin,https://en.wikipedia.org/wiki/John_Mathwin,33265547,Q6247158,2011-10-01
dick kimber,https://en.wikipedia.org/wiki/Dick_Kimber,54204157,Q30086669,2017-06-02
jack lockett,https://en.wikipedia.org/wiki/Jack_Lockett,2994195,Q4357255,2005-10-25
mary sawyer (tennis),https://en.wikipedia.org/wiki/Mary_Sawyer_(tennis),57382579,Q17302233,NA
kevin scarce,https://en.wikipedia.org/wiki/Kevin_Scarce,11048941,Q1740252,2007-05-04
john treloar (athlete),https://en.wikipedia.org/wiki/John_Treloar_(athlete),8431667,Q3137457,NA
peter thomson (golfer),https://en.wikipedia.org/wiki/Peter_Thomson_(golfer),1510351,Q1359387,NA
michael morgan (rower),https://en.wikipedia.org/wiki/Michael_Morgan_(rower),8360376,Q3305171,NA
doug lowe (australian politician),https://en.wikipedia.org/wiki/Doug_Lowe_(Australian_politician),2807449,Q5300679,NA
sam calder,https://en.wikipedia.org/wiki/Sam_Calder,1585612,Q7407281,2005-03-09
don cameron (queensland liberal politician),https://en.wikipedia.org/wiki/Don_Cameron_(Queensland_Liberal_politician),2926439,Q5294885,NA
patrick corrigan (businessman),https://en.wikipedia.org/wiki/Patrick_Corrigan_(businessman),41672204,Q16092601,NA
wayne denis hall,https://en.wikipedia.org/wiki/Wayne_Denis_Hall,15698464,Q7976180,2008-02-11
paul symon,https://en.wikipedia.org/wiki/Paul_Symon,32679553,Q7153896,2011-08-08
murray rose,https://en.wikipedia.org/wiki/Murray_Rose,731639,Q362362,2004-06-17
sally thomas,https://en.wikipedia.org/wiki/Sally_Thomas,7072512,Q7405314,2006-09-20
beryl grant,https://en.wikipedia.org/wiki/Beryl_Grant,55493956,Q41791927,2017-10-10
richard scotton,https://en.wikipedia.org/wiki/Richard_Scotton,14780626,Q7328940,2007-12-19
geoffrey wickham,https://en.wikipedia.org/wiki/Geoffrey_Wickham,2124582,Q5534973,2005-05-26
james roland wood,https://en.wikipedia.org/wiki/James_Roland_Wood,9782491,Q6142377,2007-03-01
paul de jersey,https://en.wikipedia.org/wiki/Paul_de_Jersey,9142412,Q7154577,2007-01-27
robyn archer,https://en.wikipedia.org/wiki/Robyn_Archer,10692160,Q7353572,2007-04-16
john carter (endocrinologist),https://en.wikipedia.org/wiki/John_Carter_(endocrinologist),18870989,Q6225351,NA
reginald marr,https://en.wikipedia.org/wiki/Reginald_Marr,47046796,Q20679481,2015-06-22
john maclean (sportsperson),https://en.wikipedia.org/wiki/John_Maclean_(sportsperson),33309877,Q16196573,NA
darryl smith (cricketer),https://en.wikipedia.org/wiki/Darryl_Smith_(cricketer),37944159,Q5225454,NA
david smorgon,https://en.wikipedia.org/wiki/David_Smorgon,4293524,Q5239914,2006-03-06
bill brown (cricketer),https://en.wikipedia.org/wiki/Bill_Brown_(cricketer),1860614,Q2667644,NA
john winneke,https://en.wikipedia.org/wiki/John_Winneke,9627253,Q6264621,2007-02-21
william cox (governor),https://en.wikipedia.org/wiki/William_Cox_(governor),9343864,Q2578355,NA
marcia neave,https://en.wikipedia.org/wiki/Marcia_Neave,6850466,Q6757130,2006-09-05
cheryl praeger,https://en.wikipedia.org/wiki/Cheryl_Praeger,9031833,Q1070533,2007-01-21
george paciullo,https://en.wikipedia.org/wiki/George_Paciullo,25951380,Q5543154,2010-01-26
evan adermann,https://en.wikipedia.org/wiki/Evan_Adermann,15291824,Q5415311,2008-01-18
michael baume,https://en.wikipedia.org/wiki/Michael_Baume,14626565,Q6828506,2007-12-09
ian porter (politician),https://en.wikipedia.org/wiki/Ian_Porter_(politician),23896453,Q5982611,NA
geoff henke,https://en.wikipedia.org/wiki/Geoff_Henke,23771860,Q5534160,2009-07-28
joan hall,https://en.wikipedia.org/wiki/Joan_Hall,5155878,Q6205085,2006-05-15
james semple kerr,https://en.wikipedia.org/wiki/James_Semple_Kerr,44212711,Q18346486,2014-10-26
james harrison (blood donor),https://en.wikipedia.org/wiki/James_Harrison_(blood_donor),26794895,Q2086893,NA
gracia baylor,https://en.wikipedia.org/wiki/Gracia_Baylor,1998434,Q5591492,2005-06-06
guy warren (artist),https://en.wikipedia.org/wiki/Guy_Warren_(artist),3182233,Q5622665,NA
bud tingwell,https://en.wikipedia.org/wiki/Bud_Tingwell,954692,Q734495,2004-09-03
michael fitzgerald page,https://en.wikipedia.org/wiki/Michael_Fitzgerald_Page,44700651,Q18635469,2014-12-13
david dicks,https://en.wikipedia.org/wiki/David_Dicks,2976335,Q1174223,2005-10-23
marlene mathews,https://en.wikipedia.org/wiki/Marlene_Mathews,3656162,Q443491,2006-01-08
neale lavis,https://en.wikipedia.org/wiki/Neale_Lavis,20850367,Q6984227,2008-12-27
lionel cox (cyclist),https://en.wikipedia.org/wiki/Lionel_Cox_(cyclist),11429638,Q569106,NA
ronald crawford (racewalker),https://en.wikipedia.org/wiki/Ronald_Crawford_(racewalker),35799188,Q7364767,NA
leneen forde,https://en.wikipedia.org/wiki/Leneen_Forde,1696458,Q435025,2005-04-05
lorraine crapp,https://en.wikipedia.org/wiki/Lorraine_Crapp,4215350,Q261681,2006-02-27
eric gross,https://en.wikipedia.org/wiki/Eric_Gross,13078165,Q5386622,2007-09-03
richard cleaver,https://en.wikipedia.org/wiki/Richard_Cleaver,18684185,Q7324779,2008-08-01
wilma oram,https://en.wikipedia.org/wiki/Wilma_Oram,27830472,Q8022671,2010-06-24
george seddon (academic),https://en.wikipedia.org/wiki/George_Seddon_(academic),2970768,Q5544392,NA
ken gillespie,https://en.wikipedia.org/wiki/Ken_Gillespie,14640461,Q6387677,2007-12-10
phillip playford,https://en.wikipedia.org/wiki/Phillip_Playford,54449516,Q32539655,2017-07-03
jim barry (general),https://en.wikipedia.org/wiki/Jim_Barry_(general),52480467,Q27983382,NA
elizabeth burchill,https://en.wikipedia.org/wiki/Elizabeth_Burchill,40466941,Q14954676,2013-09-07
yvonne cossart,https://en.wikipedia.org/wiki/Yvonne_Cossart,63568489,Q89444380,2020-04-05
rex stevenson,https://en.wikipedia.org/wiki/Rex_Stevenson,44038166,Q18207776,2014-10-06
a. w. martin,https://en.wikipedia.org/wiki/A._W._Martin,60271096,Q62102518,NA
don aitkin,https://en.wikipedia.org/wiki/Don_Aitkin,19597221,Q5292141,2008-10-03
weston bate,https://en.wikipedia.org/wiki/Weston_Bate,8552205,Q7989400,2006-12-21
geoff wilson (professor),https://en.wikipedia.org/wiki/Geoff_Wilson_(professor),5015721,Q5534384,NA
richard smallwood (doctor),https://en.wikipedia.org/wiki/Richard_Smallwood_(doctor),64262856,Q96250896,NA
andrew peacock,https://en.wikipedia.org/wiki/Andrew_Peacock,302827,Q374949,2003-08-23
wal murray,https://en.wikipedia.org/wiki/Wal_Murray,4429540,Q7961245,2006-03-18
patrick quilty,https://en.wikipedia.org/wiki/Patrick_Quilty,49092946,Q22253117,2016-01-13
sophie charlotte ducker,https://en.wikipedia.org/wiki/Sophie_Charlotte_Ducker,48564127,Q21510988,2015-11-16
sid atkinson,https://en.wikipedia.org/wiki/Sid_Atkinson,959664,Q722838,2004-09-05
morris west,https://en.wikipedia.org/wiki/Morris_West,341506,Q471021,2003-10-15
nan giese,https://en.wikipedia.org/wiki/Nan_Giese,63624725,Q90087689,2020-04-11
peter andry,https://en.wikipedia.org/wiki/Peter_Andry,30065217,Q7172534,2010-12-15
glenn murcutt,https://en.wikipedia.org/wiki/Glenn_Murcutt,1820386,Q333509,2005-04-30
roger mcneice,https://en.wikipedia.org/wiki/Roger_McNeice,47218933,Q20716208,2015-07-12
mavis thorpe clark,https://en.wikipedia.org/wiki/Mavis_Thorpe_Clark,50649494,Q24284530,2016-05-27
helen zerefos,https://en.wikipedia.org/wiki/Helen_Zerefos,19283641,Q5703439,2008-09-12
ken wyatt,https://en.wikipedia.org/wiki/Ken_Wyatt,28464298,Q3195101,2010-08-21
ron tucker,https://en.wikipedia.org/wiki/Ron_Tucker,33285411,Q7364488,2011-10-03
john cohen (australian politician),https://en.wikipedia.org/wiki/John_Cohen_(Australian_politician),43502054,Q17514401,NA
clifton hoeben,https://en.wikipedia.org/wiki/Clifton_Hoeben,5513757,Q5133249,2006-06-11
geoff tracey,https://en.wikipedia.org/wiki/Geoff_Tracey,64199762,Q19060983,2020-06-07
edgar riek,https://en.wikipedia.org/wiki/Edgar_Riek,59353031,Q5817691,2018-12-11
john zillman,https://en.wikipedia.org/wiki/John_Zillman,888066,Q6265327,2004-08-09
percy allan,https://en.wikipedia.org/wiki/Percy_Allan,29340701,Q7167221,2010-10-25
john kerr (pathologist),https://en.wikipedia.org/wiki/John_Kerr_(pathologist),46977844,Q1700021,NA
mick doohan,https://en.wikipedia.org/wiki/Mick_Doohan,20108,Q436025,2001-09-30
margaret court,https://en.wikipedia.org/wiki/Margaret_Court,244345,Q202342,2003-06-12
patricia kailis,https://en.wikipedia.org/wiki/Patricia_Kailis,42367826,Q16095274,2014-04-01
michael jeffery,https://en.wikipedia.org/wiki/Michael_Jeffery,251098,Q355053,2003-06-22
jocelynne scutt,https://en.wikipedia.org/wiki/Jocelynne_Scutt,6864683,Q6207203,2006-09-06
george miller (filmmaker),https://en.wikipedia.org/wiki/George_Miller_(filmmaker),152157,Q446960,NA
fiona stanley,https://en.wikipedia.org/wiki/Fiona_Stanley,186064,Q1653736,2003-02-21
elizabeth evatt,https://en.wikipedia.org/wiki/Elizabeth_Evatt,6391660,Q5362737,2006-08-11
denise bradley,https://en.wikipedia.org/wiki/Denise_Bradley,30594295,Q5257684,2011-01-23
david flint,https://en.wikipedia.org/wiki/David_Flint,1758387,Q5233697,2005-04-18
frank brennan (priest),https://en.wikipedia.org/wiki/Frank_Brennan_(priest),2575762,Q5478115,NA
diana horvath,https://en.wikipedia.org/wiki/Diana_Horvath,64269801,Q96274212,2020-06-14
anthony william linnane,https://en.wikipedia.org/wiki/Anthony_William_Linnane,58284587,Q21165256,2018-08-27
michael v. drake,https://en.wikipedia.org/wiki/Michael_V._Drake,7851408,Q6835037,NA
nick dondas,https://en.wikipedia.org/wiki/Nick_Dondas,17174927,Q15485299,2007-11-18
james hamlyn willis,https://en.wikipedia.org/wiki/James_Hamlyn_Willis,3279213,Q6135471,2005-11-30
john grey (australian general),https://en.wikipedia.org/wiki/John_Grey_(Australian_general),26980064,Q6236320,NA
ivon wardle,https://en.wikipedia.org/wiki/Ivon_Wardle,46816379,Q20273952,2015-05-27
don livingstone,https://en.wikipedia.org/wiki/Don_Livingstone,21660471,Q5293011,2009-02-22
eva cox,https://en.wikipedia.org/wiki/Eva_Cox,19969729,Q5415028,2008-10-28
wenten rubuntja,https://en.wikipedia.org/wiki/Wenten_Rubuntja,1799141,Q1718537,2005-04-26
celia rosser,https://en.wikipedia.org/wiki/Celia_Rosser,5753000,Q5058019,2006-06-29
frank mcnamara (raaf officer),https://en.wikipedia.org/wiki/Frank_McNamara_(RAAF_officer),1179477,Q531573,NA
neal blewett,https://en.wikipedia.org/wiki/Neal_Blewett,10136598,Q6984063,2007-03-19
kyrra grunnsund,https://en.wikipedia.org/wiki/Kyrra_Grunnsund,36113942,Q6452570,2012-06-12
mike kelly (australian politician),https://en.wikipedia.org/wiki/Mike_Kelly_(Australian_politician),11485057,Q3857414,NA
james burrows thomas,https://en.wikipedia.org/wiki/James_Burrows_Thomas,1211690,Q6130555,2004-11-26
richard mcgarvie,https://en.wikipedia.org/wiki/Richard_McGarvie,1379885,Q2150186,2005-01-10
peter graham (fighter),https://en.wikipedia.org/wiki/Peter_Graham_(fighter),9065336,Q7174332,NA
peter wilenski,https://en.wikipedia.org/wiki/Peter_Wilenski,41713069,Q16013339,2014-01-22
colin bond,https://en.wikipedia.org/wiki/Colin_Bond,2866672,Q5144898,2005-10-09
ronald strahan,https://en.wikipedia.org/wiki/Ronald_Strahan,59852766,Q61465784,2019-02-04
spencer grace,https://en.wikipedia.org/wiki/Spencer_Grace,44082706,Q18392357,2014-10-11
pauline neura reilly,https://en.wikipedia.org/wiki/Pauline_Neura_Reilly,6492430,Q7155064,2006-08-16
frank gardner (racing driver),https://en.wikipedia.org/wiki/Frank_Gardner_(racing_driver),14914555,Q172539,NA
babette stephens,https://en.wikipedia.org/wiki/Babette_Stephens,17080928,Q4837817,2008-04-23
joan phipson,https://en.wikipedia.org/wiki/Joan_Phipson,20238568,Q509847,2008-11-16
kerry walker,https://en.wikipedia.org/wiki/Kerry_Walker,62549981,Q16267452,2019-12-10
william t. cooper,https://en.wikipedia.org/wiki/William_T._Cooper,11759486,Q2580765,NA
eilene hannan,https://en.wikipedia.org/wiki/Eilene_Hannan,44115650,Q18330765,2014-10-15
edmund capon,https://en.wikipedia.org/wiki/Edmund_Capon,7815789,Q5339363,2006-11-07
rosalie gascoigne,https://en.wikipedia.org/wiki/Rosalie_Gascoigne,2050236,Q7367191,2005-06-15
john singleton (australian entrepreneur),https://en.wikipedia.org/wiki/John_Singleton_(Australian_entrepreneur),4168352,Q6258000,NA
lucy napaljarri kennedy,https://en.wikipedia.org/wiki/Lucy_Napaljarri_Kennedy,25797331,Q6698435,2010-01-13
kevin bacon (equestrian),https://en.wikipedia.org/wiki/Kevin_Bacon_(equestrian),34293367,Q6395762,NA
adrian charles,https://en.wikipedia.org/wiki/Adrian_Charles,61645330,Q85320097,2019-08-30
james grant (australian bishop),https://en.wikipedia.org/wiki/James_Grant_(Australian_bishop),39983142,Q16206302,NA
rene hardenbol,https://en.wikipedia.org/wiki/Rene_Hardenbol,46393105,Q19832418,2015-04-12
louise sauvage,https://en.wikipedia.org/wiki/Louise_Sauvage,987860,Q432941,2004-09-15
bruce bowley,https://en.wikipedia.org/wiki/Bruce_Bowley,50260345,Q23900847,2016-04-21
lin onus,https://en.wikipedia.org/wiki/Lin_Onus,2271368,Q1825603,2005-07-20
geoff shaw (aboriginal leader),https://en.wikipedia.org/wiki/Geoff_Shaw_(Aboriginal_leader),62282958,Q73952061,NA
robert southey (businessman),https://en.wikipedia.org/wiki/Robert_Southey_(businessman),47142123,Q20642555,NA
betty burstall,https://en.wikipedia.org/wiki/Betty_Burstall,39723160,Q15992823,2013-06-19
james fairfax,https://en.wikipedia.org/wiki/James_Fairfax,4303392,Q6133747,2006-03-07
louis kahan,https://en.wikipedia.org/wiki/Louis_Kahan,2901234,Q6687530,2005-10-13
jim gasteen,https://en.wikipedia.org/wiki/Jim_Gasteen,62496826,Q77357535,2019-12-04
bruce wallrodt,https://en.wikipedia.org/wiki/Bruce_Wallrodt,33236952,Q4978414,2011-09-28
donna burns,https://en.wikipedia.org/wiki/Donna_Burns,46585614,Q19871784,2015-05-02
john brown (australian politician),https://en.wikipedia.org/wiki/John_Brown_(Australian_politician),13504484,Q6223436,NA
jodi willis-roberts,https://en.wikipedia.org/wiki/Jodi_Willis-Roberts,32437286,Q6207921,NA
sandra yaxley,https://en.wikipedia.org/wiki/Sandra_Yaxley,33255870,Q7416805,2011-09-30
brian mcnicholl,https://en.wikipedia.org/wiki/Brian_McNicholl,33247231,Q4964747,2011-09-29
ann moyal,https://en.wikipedia.org/wiki/Ann_Moyal,60144544,Q61974629,2019-03-05
donna smith (athlete),https://en.wikipedia.org/wiki/Donna_Smith_(athlete),33255037,Q5296466,NA
joshua hofer,https://en.wikipedia.org/wiki/Joshua_Hofer,46393515,Q19832422,2015-04-13
ralph slatyer,https://en.wikipedia.org/wiki/Ralph_Slatyer,19568968,Q7288094,2008-10-02
michael kailis,https://en.wikipedia.org/wiki/Michael_Kailis,25653312,Q15438968,2010-01-02
ron penny,https://en.wikipedia.org/wiki/Ron_Penny,62703064,Q79447005,2019-12-31
bill wentworth,https://en.wikipedia.org/wiki/Bill_Wentworth,1454153,Q6236225,2005-02-01
tom uren,https://en.wikipedia.org/wiki/Tom_Uren,1760049,Q7817908,2005-04-18
donald metcalf,https://en.wikipedia.org/wiki/Donald_Metcalf,1862804,Q1240162,2005-05-09
sallyanne atkinson,https://en.wikipedia.org/wiki/Sallyanne_Atkinson,4373928,Q7405347,2006-03-13
roc kirby,https://en.wikipedia.org/wiki/Roc_Kirby,15635005,Q7353658,2008-02-07
john murtagh macrossan (judge),https://en.wikipedia.org/wiki/John_Murtagh_Macrossan_(judge),20235812,Q6249995,NA
michael clyne,https://en.wikipedia.org/wiki/Michael_Clyne,5803356,Q260236,2006-07-02
john passmore,https://en.wikipedia.org/wiki/John_Passmore,9446340,Q4346643,2007-02-11
john niland,https://en.wikipedia.org/wiki/John_Niland,7232749,Q15463350,2006-10-01
clive james,https://en.wikipedia.org/wiki/Clive_James,445291,Q2979432,2004-01-28
jacqueline jarrett goodnow,https://en.wikipedia.org/wiki/Jacqueline_Jarrett_Goodnow,32454792,Q6120119,2011-07-18
natascha mcnamara,https://en.wikipedia.org/wiki/Natascha_McNamara,23582611,Q15972525,2009-07-12
robert somervaille,https://en.wikipedia.org/wiki/Robert_Somervaille,17313661,Q7349912,2008-05-07
bruce webster (politician),https://en.wikipedia.org/wiki/Bruce_Webster_(politician),3272007,Q4978443,NA
geoff chisholm,https://en.wikipedia.org/wiki/Geoff_Chisholm,40141714,Q1502956,2013-08-03
pixie annat,https://en.wikipedia.org/wiki/Pixie_Annat,46735422,Q21063057,2015-05-18
don chipp,https://en.wikipedia.org/wiki/Don_Chipp,978858,Q1239052,2004-09-12
peter sinclair (governor),https://en.wikipedia.org/wiki/Peter_Sinclair_(governor),2760904,Q7176959,NA
barry maddern,https://en.wikipedia.org/wiki/Barry_Maddern,43211238,Q17402463,2014-07-04
tony parsons (australian author),https://en.wikipedia.org/wiki/Tony_Parsons_(Australian_author),55378976,Q42351236,NA
kevin berry,https://en.wikipedia.org/wiki/Kevin_Berry,5072510,Q1384683,2006-05-09
alan head,https://en.wikipedia.org/wiki/Alan_Head,34191699,Q4706847,2011-12-26
george freudenstein,https://en.wikipedia.org/wiki/George_Freudenstein,27858367,Q5539500,2010-06-26
patricia mather,https://en.wikipedia.org/wiki/Patricia_Mather,34736388,Q7145717,2012-02-14
james mollison,https://en.wikipedia.org/wiki/James_Mollison,7483202,Q6139879,2006-10-17
john mccallum (actor),https://en.wikipedia.org/wiki/John_McCallum_(actor),2621727,Q3182039,NA
erica mcgilchrist,https://en.wikipedia.org/wiki/Erica_McGilchrist,61320584,Q20981197,2019-07-20
sheila scotter,https://en.wikipedia.org/wiki/Sheila_Scotter,35408155,Q7493145,2012-04-09
wendy blacklock,https://en.wikipedia.org/wiki/Wendy_Blacklock,3737690,Q7982605,2006-01-16
arthur boyd,https://en.wikipedia.org/wiki/Arthur_Boyd,1018994,Q2865024,2004-09-26
roger woodward,https://en.wikipedia.org/wiki/Roger_Woodward,2947679,Q7359161,2005-10-19
keith middleton,https://en.wikipedia.org/wiki/Keith_Middleton,59608088,Q60675605,2019-01-08
michelle den dekker,https://en.wikipedia.org/wiki/Michelle_den_Dekker,42560384,Q16728490,2014-04-23
adrienne clarke,https://en.wikipedia.org/wiki/Adrienne_Clarke,5834667,Q4685688,2006-07-05
charlie yankos,https://en.wikipedia.org/wiki/Charlie_Yankos,15720049,Q2920317,2008-02-12
trevor allan (rugby),https://en.wikipedia.org/wiki/Trevor_Allan_(rugby),9192393,Q3538553,NA
heather southcott,https://en.wikipedia.org/wiki/Heather_Southcott,20009808,Q5694109,2008-10-31
william dunn (south australian politician),https://en.wikipedia.org/wiki/William_Dunn_(South_Australian_politician),49126230,Q23585445,NA
colin woods,https://en.wikipedia.org/wiki/Colin_Woods,19670280,Q5145695,2008-10-08
beryl beaurepaire,https://en.wikipedia.org/wiki/Beryl_Beaurepaire,7045762,Q16089720,2006-09-18
don kay (composer),https://en.wikipedia.org/wiki/Don_Kay_(composer),14101427,Q5292889,NA
peter yeldham,https://en.wikipedia.org/wiki/Peter_Yeldham,22044140,Q7177822,2009-03-19
judith anderson,https://en.wikipedia.org/wiki/Judith_Anderson,463434,Q230415,2004-02-10
brett whiteley,https://en.wikipedia.org/wiki/Brett_Whiteley,299439,Q176409,2003-08-19
brett whiteley house,https://en.wikipedia.org/wiki/Brett_Whiteley_House,63380195,Q87742110,2020-03-15
robert hughes (critic),https://en.wikipedia.org/wiki/Robert_Hughes_(critic),776149,Q1811222,NA
john perceval,https://en.wikipedia.org/wiki/John_Perceval,2496151,Q6252532,2005-08-20
miriam hyde,https://en.wikipedia.org/wiki/Miriam_Hyde,1390879,Q3509325,2005-01-12
tony barber,https://en.wikipedia.org/wiki/Tony_Barber,2687735,Q7821825,2005-09-16
alexander fraser (australian politician),https://en.wikipedia.org/wiki/Alexander_Fraser_(Australian_politician),20175146,Q4718893,NA
phillip adams (sport shooter),https://en.wikipedia.org/wiki/Phillip_Adams_(sport_shooter),49862274,Q11995607,NA
neil batt,https://en.wikipedia.org/wiki/Neil_Batt,21069265,Q6988277,2009-01-13
issy pilowsky,https://en.wikipedia.org/wiki/Issy_Pilowsky,10520104,Q6088460,2007-04-07
fred hollows,https://en.wikipedia.org/wiki/Fred_Hollows,451436,Q3086860,2004-02-02
peter isaacson,https://en.wikipedia.org/wiki/Peter_Isaacson,20132567,Q7174837,2008-11-09
renfrey potts,https://en.wikipedia.org/wiki/Renfrey_Potts,14271369,Q2143941,2007-11-16
john mulvaney,https://en.wikipedia.org/wiki/John_Mulvaney,27991586,Q6249788,2010-07-10
bill peach,https://en.wikipedia.org/wiki/Bill_Peach,40366526,Q15429566,2013-08-27
tony eggleton,https://en.wikipedia.org/wiki/Tony_Eggleton,6495067,Q7822278,2006-08-16
ron casey (melbourne broadcaster),https://en.wikipedia.org/wiki/Ron_Casey_(Melbourne_broadcaster),3244781,Q7363610,NA
nicholas shehadie,https://en.wikipedia.org/wiki/Nicholas_Shehadie,5785132,Q3339675,2006-07-01
j. j. c. smart,https://en.wikipedia.org/wiki/J._J._C._Smart,440324,Q600759,NA
hal wootten,https://en.wikipedia.org/wiki/Hal_Wootten,40091793,Q16089710,2013-07-28
basil hetzel,https://en.wikipedia.org/wiki/Basil_Hetzel,2172663,Q15504776,2005-07-05
joan child,https://en.wikipedia.org/wiki/Joan_Child,2049194,Q6204942,2005-06-15
gill james,https://en.wikipedia.org/wiki/Gill_James,26466262,Q5561893,2010-03-08
susan ryan,https://en.wikipedia.org/wiki/Susan_Ryan,2693353,Q7648344,2005-09-17
