wikidataID,personLabel,personDescription,refurl,orderaus,orderausLabel,honsid,date_awarded,sitelink
Q4470099,Robyn Williams,Australian science journalist,https://honours.pmc.gov.au/honours/awards/886129,http://www.wikidata.org/entity/Q56449119,Honorary Member of the Order of Australia,886129,1988-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Robyn_Williams
Q4476226,Judah Waten,Australian writer,https://honours.pmc.gov.au/honours/awards/870028,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,870028,1979-06-11T00:00:00Z,https://en.wikipedia.org/wiki/Judah_Waten
Q4479941,Reg Lindsay,country music singer,https://honours.pmc.gov.au/honours/awards/870409,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,870409,1989-06-12T00:00:00Z,https://en.wikipedia.org/wiki/Reg_Lindsay
Q4499087,Fiona Margaret Hall,"photographer, sculptor, Painter",https://honours.pmc.gov.au/honours/awards/1147742,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1147742,2013-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Fiona_Hall_(artist)
Q4503285,Mandawuy Yunupingu,"Aboriginal Australian singer-songwriter and guitarist with Yothu Yindi, educator",https://honours.pmc.gov.au/honours/awards/1149576,http://www.wikidata.org/entity/Q9680541,Companion of the Order of Australia,1149576,2014-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Mandawuy_Yunupingu
Q4532112,Julie Anthony,Australian entertainer,https://honours.pmc.gov.au/honours/awards/869934,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,869934,1989-06-12T00:00:00Z,https://en.wikipedia.org/wiki/Julie_Anthony_(singer)
Q4568202,Kay Cottee,Australian sailor,NA,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,886612,1989-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Kay_Cottee
Q4647790,A. G. L. Shaw,Australian historian (1916-2012),https://honours.pmc.gov.au/honours/awards/881486,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,881486,1982-06-14T00:00:00Z,https://en.wikipedia.org/wiki/A._G._L._Shaw
Q4662139,Aaron Kearney,Australian broadcaster and journalist,https://honours.pmc.gov.au/honours/awards/2007175,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,2007175,2020-06-07T00:00:00Z,https://en.wikipedia.org/wiki/Aaron_Kearney
Q4684966,Adrian David Cheok,"Australian computer scientist, politician, and Professor in Tokyo",https://honours.pmc.gov.au/honours/awards/2004797,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,2004797,2019-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Adrian_David_Cheok
Q4685069,Adrian Grogan,Australian Paralympic athlete,https://honours.pmc.gov.au/honours/awards/886937,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,886937,2001-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Adrian_Grogan
Q4685161,Adrian King,Australian wheelchair basketball player,https://honours.pmc.gov.au/honours/awards/1139999,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,1139999,2009-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Adrian_King_(basketball)
Q4685258,Adrian Pagan,Australian economist,https://honours.pmc.gov.au/honours/awards/1150765,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1150765,2015-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Adrian_Pagan
Q4685462,Adrian d'Hagé,Australian writer and brigadier,https://honours.pmc.gov.au/honours/awards/878573,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,878573,1993-06-13T00:00:00Z,https://en.wikipedia.org/wiki/Adrian_d'Hagé
Q4685639,Adrien Albert,leading authority in the development of medicinal chemistry in Australia,https://honours.pmc.gov.au/honours/awards/883664,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,883664,1989-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Adrien_Albert
Q4685686,Adrienne Cahalan,Australian sailor,https://honours.pmc.gov.au/honours/awards/2004853,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,2004853,2019-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Adrienne_Cahalan
Q4685688,Adrienne Clarke,Australian plant geneticist & botanist (1938 -),https://honours.pmc.gov.au/honours/awards/1141630,http://www.wikidata.org/entity/Q9680541,Companion of the Order of Australia,1141630,2004-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Adrienne_Clarke
Q4685688,Adrienne Clarke,Australian plant geneticist & botanist (1938 -),https://honours.pmc.gov.au/honours/awards/1141629,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,1141629,1991-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Adrienne_Clarke
Q4685722,Adrienne Smith,Australian sports official,https://honours.pmc.gov.au/honours/awards/1137809,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,1137809,2008-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Adrienne_Smith
Q4696991,Aila Keto,Australian environmentalist,https://honours.pmc.gov.au/honours/awards/878299,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,878299,1994-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Aila_Keto
Q4697491,Ainslie Roberts,Australian artist (1911-1993),https://honours.pmc.gov.au/honours/awards/870353,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,870353,1993-06-13T00:00:00Z,https://en.wikipedia.org/wiki/Ainslie_Roberts
Q4697493,Ainslie Sheil,Australian organ transplant surgeon and rugby union player,https://honours.pmc.gov.au/honours/awards/2006895,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,2006895,2020-06-07T00:00:00Z,https://en.wikipedia.org/wiki/Ainslie_Sheil
Q4703909,Al Grassby,Australian politician,https://honours.pmc.gov.au/honours/awards/871466,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,871466,1985-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Al_Grassby
Q4706153,Alan Beaumont,Australian Navy officer,NA,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,879206,1989-06-12T00:00:00Z,https://en.wikipedia.org/wiki/Alan_Beaumont
Q4706153,Alan Beaumont,Australian Navy officer,NA,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,879871,1982-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Alan_Beaumont
Q4706153,Alan Beaumont,Australian Navy officer,NA,http://www.wikidata.org/entity/Q9680541,Companion of the Order of Australia,879580,1992-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Alan_Beaumont
Q4706257,Alan Brown,Australian politician,https://honours.pmc.gov.au/honours/awards/2002024,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,2002024,2018-06-11T00:00:00Z,https://en.wikipedia.org/wiki/Alan_Brown_(Australian_politician)
