wikipediaPageID,name,pageCreation
5189181,Ronnie Burns singer,2006-05-18
37620125,William Delafield Cook,2012-11-12
805877,Cadel Evans,2004-07-11
22060782,Andrew Lloyd runner,2009-03-20
44141000,John Lynch New South Wales politician,2014-10-17
60188959,Margaret Hunter jurist,2019-03-10
3319666,Don Wing,2005-12-04
12234546,Richard Woldendorp,2007-07-13
5864515,David Wotton,2006-07-07
59344223,Alice Spigelman,2018-12-11
44643891,Peter Steele poet,2014-12-09
43233571,Haddon Storey,2014-07-07
54644760,Reginald Arnold,2017-07-25
15938304,David Llewellyn Australian politician,2008-02-25
36314771,Tony Hyams,2012-07-03
1054185,Janet Powell,2004-10-10
62924424,James Muecke,2020-01-25
18767630,Wayne Harrison director,2008-08-08
5593694,Elisabeth Kirkby,2006-06-17
46944202,Victor Kovalenko,2015-06-10
42669584,Ann Mitchell cricketer,2014-05-05
59168501,Alice MacLennan,2018-11-27
44946470,John Hardy aviator,2015-01-05
11373794,Ernie Bridge,2007-05-23
21993076,Heather Butler,2009-03-16
46992945,Phillip Toyne,2015-06-16
34071676,Peter Jones admiral,2011-12-15
39132117,Joseph Paul Forgas,2013-04-16
3099530,Alex George,2005-11-07
761546,Gareth Evans politician,2004-06-28
3839699,Ian Frazer,2006-01-25
1013237,Robert Hill Australian politician,2004-09-24
5755931,Stephen Hopper,2006-06-29
63594,Joan Kirner,2002-07-23
4637927,Wayne Martin judge,2006-04-05
23721,Peter Singer,2001-08-09
30306384,Ian Brusasco,2011-01-04
1131253,Harry Butler,2004-11-04
8873235,Piers Lane,2007-01-11
15016288,Simon McKeon,2008-01-03
42038955,Doug Jones international arbitrator,2014-02-24
45266117,Graeme Hugo,2015-01-31
10045774,John Herron Australian politician,2007-03-14
24419,Peter Carey novelist,2001-10-18
62215714,Mary Crooks,2019-11-01
41769220,Amanda Thane,2014-01-28
62850067,Deb Butterworth,2020-01-17
8173373,Bruce A Fuhrer,2006-11-29
60731423,Lisa Jackson Pulver,2019-05-11
12749130,Susan Kiefel,2007-08-13
380811,John Anderson Australian politician,2003-11-27
56219905,Marie Coleman,2018-01-05
3148758,Brian Ross Martin,2005-11-13
17141948,Nick Warner,2008-04-27
26824931,George Williams lawyer,2010-04-04
1356870,Ralph Willis,2005-01-03
62902556,Ben Swane,2020-01-23
