value,wd
John Tierney (Australian politician),Q6260826
Natasha Stott Despoja,Q6968504
John Cornwall (South Australian politician),Q6227168
John E. Scanlon,Q21175237
J. Bruce Jacobs,Q76577662
Josephine Flood,Q17523828
Rae Cooper,Q64665944
Graeme Turner,Q5592411
Peter Rathjen,Q7176537
Katherine Belov,Q21463152
Faith Thomas,Q5431233
Ricky Grace,Q645067
Tilman Ruff,Q21063268
"Elizabeth North, South Australia",Q5363269
Marie Porter,Q54941473
Virginia Spate,Q54906851
Tom Gleisner,Q7815955
John Goss (racing driver),Q6235843
Joanne Broadbent,Q6206077
Christobel Saunders,Q21063295
Rose Amal,Q25513876
Kate Grenville,Q2919671
Robyn Guymer,Q56440759
Jill Bilcock,Q280870
Michael Noonan (admiral),Q16733451
Paul McLachlan,Q23771352
Goff Letts,Q5577247
Helen Brownlee,Q62007080
John Cuneo (sailor),Q6227867
Geoffrey Harcourt,Q1502988
John Kerin,Q1700698
Robert Gottliebsen,Q7344883
Philip Brady (broadcaster),Q7183266
Christian Zahra,Q5110292
Lee Tarlamis,Q373488
David Walker (historian),Q5240784
Barbara G. Briggs,Q2356897
Linda Jackson (designer),Q6551674
Arman Abrahimzadeh,Q48472257
Robert Murray Smith,Q16037897
David Smith (Western Australian politician),Q25184192
Ian Smith (lobbyist),Q19879108
Deepak Vinayak,Q29589031
Joseph Assaf,Q6281158
Dawn Fraser,Q229040
Dawn Fraser Swimming Pool,Q56051624
Anne Wills,Q4768893
David Cooper (immunologist),Q24682145
Kathryn Harby-Williams,Q6377048
John Hatzistergos,Q16193625
Phillip Thompson,Q64009045
Ronald Eric Johnstone,Q7364841
Roberta Shepherd,Q41799667
Suzanne Chambers,Q56233428
Shurlee Swain,Q55106278
Catherine Branson,Q5052554
Gillian Aldridge,Q5562186
Andrew Murray (Australian politician),Q4758092
John Sharp (Australian politician),Q6257427
Noel Kelly (rugby league),Q15485653
Robin Creyke,Q67222775
Geoffrey Burnstock,Q5534494
Brian Owler,Q18378958
Sever Sternhell,Q7457809
Susan M. Butler,Q55329619
Terri Cater,Q27058495
Susan Provan,Q54918107
Erica Smyth,Q18057058
San Thang,Q28949164
Jeremy Fisher (author),Q15486005
Paul Broughton,Q7149540
Keri Craig-Lee,Q50875121
Daryl Melham,Q5226210
John Marshall (swimmer),Q2301894
Ann Carr-Boyd,Q4766306
John B. Biggs,Q6219865
Richard Francis-Bruce,Q1969707
Michael Ebeid,Q6830064
Peter De Waal,Q64762923
Anne Warner (politician),Q4768873
Kathryn Toohey,Q30112690
M. C. Ricklefs,Q3272425
Ian Robinson (Australian politician),Q5982762
John McLaren (cricketer),Q16037824
Joe Tripodi,Q6212724
Cate Blanchett,Q80966
Michael Crouch,Q16093647
Ken Freeman (astronomer),Q6387641
Peter Gago,Q7174156
John Gandel,Q6234806
Alan Joyce (executive),Q4707007
Peter Klinken,Q28132587
Julian McMahon (barrister),Q19667062
Jacques Nasser,Q1678053
John Shine,Q12404787
Robert Tickner,Q7350396
Alex Zelinsky,Q4718044
Kay Goldsworthy,Q523318
Antony Green,Q4777207
Helen Herrman,Q46956609
James Hogan (businessman),Q6136145
Mo'onia Gerrard,Q6886099
Andrew Ford (composer),Q4756977
Ron Dyer,Q7363723
George Henry Bennett,Q5540423
Robert Spence (bishop),Q12069792
Darby McCarthy,Q5222273
Amanda Keller,Q4739661
Roger Noble,Q61951606
Jared Tallent,Q1728
George Williamson (Australian footballer),Q23621684
Kerry Sanderson,Q17402900
Glenn Stevens,Q1813984
Jan Adams (diplomat),Q22002995
Fran Baum,Q67231057
"John Bertrand (sailor, born 1946)",Q1699327
Carmel McLure,Q16889134
Tony Beddison,Q84390859
Hieu Van Le,Q5753361
Peter Lloyd (aviator),Q24706194
Raymond Finkelstein,Q7298776
Suzanne O'Reilly,Q17517283
Vivienne Thom,Q96575176
Lynn Rainbow,Q6709179
Tony Smibert,Q17198723
George Souris,Q5544706
Debbie Spillane,Q24570058
Colin Raston,Q24851642
Alan Stockdale,Q4707846
John Wegner,Q53095622
Nalini Joshi,Q6960912
Kevin Donnelly,Q76464990
Cheryl Edwardes,Q16145052
Elizabeth Finkel,Q5362772
Denis Evans,Q5257225
Kate Ceberano,Q6375418
Keith Payne,Q6384877
