value,wd
Jenny Cheesman,Q3807906
Elisabeth Murdoch (philanthropist),Q713195
Ted Harris (company director),Q7693270
Bob Maguire,Q4933231
Arthur Hewson,Q4799058
Brian Frank Martin,Q4963783
Wendy McCarthy,Q19668182
Richard Kingsland,Q7327088
John Newcombe,Q312464
Mary Durack,Q6779356
Noel Ferrier,Q7046938
Howard Taylor (painter),Q5921021
Yvonne Kenny,Q523892
Patrick Troy,Q55966328
Kathleen Taperell,Q17198785
James Bradley (Australian writer),Q6130122
Ian Knox (admiral),Q24005673
Lawrence O'Donnell (general),Q6504428
Robert Story (botanist),Q18166629
Colin Watson (footballer),Q5145662
John Devitt,Q127672
Gustav Nossal,Q1556241
Keith Russack,Q16866525
Peter Ross-Edwards,Q17404075
Margaret Manion,Q29452663
Laurence Street,Q6500894
Russell Fox,Q7381850
Michael McHugh,Q6832720
Francis Burt,Q365472
George Blaikie,Q5537033
George Sparnon,Q68110509
Nan Waddy,Q56169627
Leslie Lazarus,Q20737695
Ron Mulock,Q7364194
Malcolm Fraser,Q315979
Marie Bashir,Q1897276
Douglas Warren (bishop),Q435251
Ian Constable,Q5981255
John Gorton,Q356411
Merv Everett,Q6820797
Wayne Gardner,Q723003
Sam Coffa,Q45328747
David Graham (golfer),Q2042823
Terry Gathercole,Q3984810
Pat Clohessy,Q26724223
Ken Woolley,Q6388721
Rosemary Wighton,Q64788339
Margaret Stones,Q922770
Annemieke Mein,Q4768999
Elizabeth Jolley,Q461902
Tom Hungerford,Q7816276
John Roberts (Australian businessman),Q6255181
John Charles Robertson (army officer),Q66813266
Tom Bass (sculptor),Q747973
Dorothy Auchterlonie Green,Q5298297
Mary Fairfax,Q6779516
Tommaso D'Orsogna,Q915411
Reg Kermode,Q93448062
David Bell (field hockey),Q15111593
Arthur Beetson,Q2864988
Greg Norman,Q381941
Weary Dunlop,Q3048501
Ron Walker (Australian businessman),Q933735
Nancy Borlase,Q6962570
David Gulpilil,Q731111
Roger Kemp,Q7358443
Kira Bousloff,Q20679268
Rica Erickson,Q4357043
Harry Seidler,Q85669
John Bell (Australian actor),Q6221426
Robert Walls (admiral),Q24005766
Leonard Webb (academic),Q96205761
Bruce Rosier,Q4978226
Helen Alma Newton Turner,Q21489878
Davis McCaughey,Q1178152
Harvey Barnett,Q17626475
Ian Castles,Q5981152
Alban Lynch,Q77031697
Len King,Q6521849
Gil Duthie,Q5560501
Ralph Jacobi,Q7287707
Arthur Whyte,Q18658538
Bill Borthwick,Q4908205
Liz Grant,Q5362866
Harry Gibbs,Q5669075
Stephen Wurm,Q577978
Fred Gruen,Q5495319
Joan Montgomery,Q60329872
Rosemary Crossley,Q7368341
Hurtle Lupton,Q5948768
Ken G. Hall,Q1738601
Betty Allan,Q21537623
Murray Gleeson,Q6939251
Robert Jackson (UN administrator),Q7346006
Alec Fong Lim,Q4714135
Brian King (bishop),Q16017453
Wendy Chapman,Q55077237
Don Simmons (politician),Q19605075
John Duncan (Australian politician),Q18379593
Gordon Reid (governor),Q1538078
Mick Miller (police officer),Q6838336
Malcolm Blight,Q6742191
John Newham,Q6250344
David Parker (director),Q5238384
Brenton Langbein,Q28068957
Keith Simpson (footballer),Q23617485
John Shaw (baritone),Q6257475
Geoffrey Serle,Q5534891
John Toohey (judge),Q6261017
Ranald Macdonald (Australian journalist and educator),Q75492902
Walter Jona,Q7965292
Trevor Haworth,Q19845176
Stephen Holland,Q1371916
Walter Lewis Bridgland,Q7965449
Franco Belgiorno-Nettis,Q5484519
George Golla,Q5539784
George Gollan,Q5539785
Hugh Wirth,Q16105249
David P. Craig,Q5238303
Hugh Alexander Dunn,Q677409
Robert Reid (ice hockey),Q2158581
Peter Dunn (general),Q7173769
Tony Ayers,Q16095184
Molly Byrne,Q19560183
John Truscott,Q1117915
Ray Gietzelt,Q7297523
Max Walsh,Q15436172
Genni Batterham,Q38549983
Harrison Bryan,Q22958644
William David Lindsay Ride,Q4019979
Donald Robinson (bishop),Q5295079
Graham White (swimmer),Q466138
Hamar Midgley,Q65714659
Michael Hudson (admiral),Q6831274
David Leach (admiral),Q5236395
Jim Wallace (Australian activist),Q6198737
Bob McLeod (cricketer),Q4933368
Geoffrey Bolton,Q5534462
Milton Moon,Q6861345
Faye Lo Po',Q5438982
Naomi Mayers,Q20985508
William Kidston,Q8013991
Bertie Brownlow,Q4895610
Pauline English,Q7155009
Ronald John Yates,Q7364993
Kevin Coombs,Q6396063
Richard Burt (politician),Q27923016
Gordon Jackson (businessman),Q5585356
George Ogilvie,Q3101803
Richard Bonynge,Q528300
David Watson (Queensland politician),Q5240870
Robin Gibson (architect),Q7352415
Andrew Andersons,Q4756211
Thomas Keneally,Q298334
Raymond Berg,Q16840604
Geoffrey Mayne,Q5534772
Lindsay Pryor,Q2886672
Reg Sprigg,Q2138025
Don Banfield,Q18658528
Margaret Fulton,Q6759431
Peter Weir,Q55424
John Bloomfield (academic),Q6222244
George Joseph (Australian politician),Q25183408
Charles Court,Q3308826
Barry Humphries,Q734221
Enid Lorimer,Q16010045
Bob Brissenden,Q24041208
Brian Crossley,Q18763708
Sam Jacobs (judge),Q52334520
Barry Hickey,Q809052
Julian Stefani,Q16105222
Yami Lester,Q8048048
Sybil Craig,Q20887153
Kym Bonython,Q6451719
David Ireland (author),Q978089
Nancye Hayes,Q20676933
Margaret Sutherland,Q6759944
John Andrews (architect),Q436649
John Dowie (artist),Q6229983
Jack Sweet,Q23071450
Ren DeGaris,Q18645713
Percy Williams (Australian rugby league player),Q18165932
Julius Stone,Q1713010
Garfield Barwick,Q1445155
Raymond Begg,Q7298590
Sister Mary Ursula Grachan,Q98025752
Stephen Murray-Smith,Q2344989
A. A. Phillips,Q4647484
Eric Barnard (politician),Q16089896
Keith Smith (engineer),Q6385041
Doug Waterhouse,Q5300991
Ralph Harry,Q12354389
Eddie Charlton,Q1277286
Neil MacLeod (footballer),Q6988902
David Fleay,Q3017915
Russell Drysdale,Q3453456
John Coburn (painter),Q4427258
Queenie Ashton,Q7270704
Don Banks,Q3035723
Mario Feleppa,Q18668726
John Langdon Bonython (1905–1992),Q6243975
Helen Cutler,Q55957518
John Rosewell,Q16023296
Peter Brock,Q1783224
Ray Mitchell (wrestler),Q65031266
Rudolph Brasch,Q7377398
Douglas Stewart (poet),Q5302000
Marea Gazzard,Q6758741
Bruce Alexander McDonald,Q15968104
Norman Chaffer,Q15487202
George Althofer,Q5536212
Geoffrey Ayling,Q31211718
Don Bradman,Q313591
Lloyd Evans (plant physiologist),Q6662416
Reg Downing,Q7307762
Don Dunstan,Q515924
Frank O'Keefe,Q5488755
John Jefferson Bray,Q6241752
William Macmahon Ball,Q8015011
John Coumbe,Q20679438
Fred Daly (politician),Q5494954
Gough Whitlam,Q23333
Tony Luchetti,Q4772968
Bill Neilson,Q4910321
Alan Lind,Q21604884
Jack Oatey,Q6114427
Ron Barassi,Q3441366
Jack Studdert,Q6115382
Alexandra Hasluck,Q539553
Paul Cullen (general),Q7150049
Peter Spillett,Q26267295
Colin Thiele,Q1108703
"John Whitelaw (general, born 1921)",Q6263849
Tom Roberts,Q1291901
John Tonkin,Q6261011
John Lazar,Q6244252
Charles K. Bliss,Q112877
Vi Jordan,Q16010016
Robert Menzies,Q214438
Bernard Mills,Q4293579
Nancy Tyson Burbidge,Q6963048
Anthony Synnot,Q4773548
Elsie Curtin,Q27832576
Jack Gerke,Q15971207
Vincent Lingiari,Q2526670
Phillip Law,Q2088038
Irene Greenwood,Q38565501
Ernest Smith,Q5393818
Elwyn Lynn,Q5368375
Manning Clark,Q1890752
James McAuley,Q1680781
Joan Sutherland,Q207269
Paddy Pallin,Q7123591
Stuart Clarence Graham,Q7626412
Lindesay Clark,Q6552445
Eric Reece,Q5387341
Joy Cummings,Q52295095
Betty Bryant,Q19871317
Ted Baillieu,Q1378246
Anne Astin,Q22276881
Roger Steele,Q7358951
Ian Stewart (police commissioner),Q68359933
Barry O'Farrell,Q1803998
Anne McEwen (politician),Q4768636
John Harvey (racing driver),Q6238143
Genevieve Bell,Q5533059
Anthony William Thomas,Q4773718
Robyn Williams,Q4470099
Gael Jennings,Q17517120
Jeffrey Goldsworthy,Q6176006
Fiona McLeod (barrister),Q23308429
Sarah Bradley (judge),Q7422125
William J. Mitchell,Q1502565
Helen Leake,Q83668709
Rachelle Buchbinder,Q28036349
Diana Egerton-Warburton,Q56046771
Peter McIntyre (architect),Q7175790
Lea Waters,Q91670334
Justin Yerbury,Q25849249
Jane Turner,Q6152857
Albert Bensimon,Q4709738
Tim Minchin,Q23527
Keith Urban,Q315547
Clare Wright,Q16864495
Emily Cox (conductor),Q5372121
John Zerunge Young,Q16187378
Hugo Weaving,Q42204
Harriet Edquist,Q21104177
Kate Mulvany,Q22007082
Douglas Lawrence,Q5301717
George Savvides,Q5544315
Sam Lipski,Q7407796
Peter Combe,Q7173352
Linda George (Australian singer),Q6551587
Mary Featherston,Q86944312
James Gorman (VC),Q6134766
Mary Crawford,Q6779260
Elaine Carbines,Q5353175
Raymond Specht,Q3277170
Rachel Webster,Q22915122
Richard Broome,Q7324383
Rae Frances,Q83804735
John Dewar (academic),Q6229302
Joan Cribb,Q21509507
Raymond Brownell,Q7298627
Gregory John Keighery,Q5885622
Carly Findlay,Q58007963
Michael Bowden (footballer),Q6828756
Larissa Behrendt,Q15499846
Cindy Shannon,Q52488323
Peter Shann Ford,Q7174036
Leo Maguire (footballer),Q6524021
Eugene Hurley,Q1160591
Liz Dennis,Q17517048
Kitty Chiller,Q17626568
David Malin,Q5237073
Mary Garson,Q29033549
Andrew Pitman,Q4758280
Margaret Stone (judge),Q6759926
Barry House,Q4864320
Stan Evans,Q7597624
Warren Truss,Q591604
Geoffrey Nettle,Q16259481
Michelle Gordon,Q19873848
Tara Brabazon,Q7685035
Michael Clarke (cricketer),Q1428440
Adele Ferguson,Q61050992
Alan Kohler,Q4707091
Kathryn North,Q21062251
Sharon Lewin,Q37618308
Maria Kavallaris,Q61113429
Helen Christensen,Q16204130
Anita Jacoby,Q20924009
Chris Mitchell (journalist),Q2964804
Kevin Sheedy (Australian footballer),Q6397484
Roy Emerson,Q312545
Raymond Holmes (surveyor),Q69618362
"Hilton Clarke (cyclist, born 1944)",Q18349502
Mike Fitzpatrick (footballer),Q6846842
Mark Casey (bowls),Q27922302
Gareth Evans (politician),Q381902
Mark Fraser (secretary),Q19873539
Jean McLean (politician),Q6171164
Rhonda Galbally,Q7321367
Lou Bennett (musician),Q6685369
Ian McLean,Q5982332
Sophie Masson,Q7563034
Warwick Smith (politician),Q7971193
Jennifer Rowe,Q2460840
Elena Kats-Chernin,Q273213
Banduk Marika,Q64025668
Kathryn Campbell,Q20740690
Lynne Williams,Q83437910
Cornelia Frances,Q2904828
Kylie Minogue,Q11998
Stan Perron,Q7597831
Ronni Kahn,Q7365770
Pauline Gandel,Q61056754
Patricia Forsythe,Q7145585
Malcolm Broomhead,Q52833391
Sandra Harding (sociologist),Q90209148
Luke Sayers,Q92095829
Harold Luntz,Q16104710
Lyndall Ryan,Q15493494
Lynette Russell,Q55740845
Christine Townend,Q17198806
Judy Raper,Q64748712
Frank Bongiorno,Q59782514
Chrissie Foster,Q68195019
Matthew Condon,Q6790327
Ross Dunning,Q28428590
Ross Dunne,Q7369300
Ian Thorpe,Q185044
Julie McCrossin,Q6308380
Bronwyn King,Q75732840
Pantjiti Unkari McKenzie,Q87025811
Lynette Silver,Q20882040
Robert Taylor (Australian actor),Q944529
Caroline Finch,Q37837260
David Thomson (Australian National Party politician),Q5240396
Janet McCalman,Q47497441
Mickey Dewar,Q29639545
Chloe Munro,Q70276565
Dorothy Isaksen,Q5298468
Michael Coper,Q65091680
Patrick Daley,Q7146320
Evonne Goolagong Cawley,Q228559
Heather McKay,Q538855
Betty Cuthbert,Q166534
David Johnston (admiral),Q16730377
Mark Brewer (army),Q30123188
Belinda Clark,Q3195953
Michael Turtur,Q268352
John Gaden,Q19873597
John Siddons,Q6257825
Susie O'Neill,Q45350
Gillian Rolton,Q275533
Ingrid Moses,Q6033244
Ezio Rizzardo,Q15809092
Michael Barber (academic),Q25183911
Jennifer L. Martin,Q17517193
Martin Banwell,Q6774939
Meg Lees,Q6665972
Scott W. Sloan,Q15847000
Maree Teesson,Q47985601
Liz Ellis,Q6660117
Karrie Webb,Q271024
Mukesh Haikerwal,Q6933432
Ted Pickering,Q7693605
John Castrilli,Q6225512
Anthony S. Weiss,Q24026250
David Andrew Sinclair,Q5239823
Shane Gould,Q231374
Michele Timms,Q2019543
Lucette Aldous,Q6696526
Dennis Young (Australian politician),Q5259088
John Mildren,Q6248727
Allan Fife,Q76788845
Bruce Maslin,Q2926444
Bernard Salt,Q4893618
Archibald Park,Q15999360
Ranjana Srivastava,Q26702925
Peter Jones (drummer),Q2654746
Emma McKeon,Q14638241
Kevin Bell (judge),Q6395823
John Hamilton Bowie,Q11206860
Kim Brennan,Q576663
Stuart Mayer,Q17198330
Peter Woolcott,Q17061673
Dave McKee,Q20742222
David McKee Wright,Q5237392
Colin L. Masters,Q1108510
Rebecca Peters,Q7301864
Larry Sitsky,Q6491115
Andrew Stewart Coats,Q4757555
Susan Wakil,Q83499481
Mark Webber,Q82667
Richard Harvey (scientist),Q24067156
Phil Kearns,Q3378800
Robbie McEwen,Q317118
Rosemary Craddock,Q69386682
Max Lu,Q24572188
Melinda Gainsford-Taylor,Q456778
Joanna Gash,Q6205834
Carol Liston,Q63940037
Greg Craven (academic),Q5605448
Jane den Hollander,Q6152989
Helen Durham,Q18808576
Ahmed Fahour,Q16119735
Mick Fanning,Q1140016
Paul Kelly (Australian musician),Q952656
Ken Lay (police officer),Q6388005
Bob Ellicott,Q4932363
Julia Gillard,Q41563
Andrew Bruce Holmes,Q4756462
Martin Parkinson,Q16734169
Kate Warner,Q18571481
MaryAnn Bin-Sallik,Q55106303
John Brumby,Q3108047
Nick Cave,Q192668
Keryn Williams,Q28530096
Charles Wade,Q2960419
Madison Wilson,Q20754732
John Williams (New South Wales state politician),Q6264319
Tiffany Thomas Kane,Q21063491
Robert Cook (Australian politician),Q7343082
John Crook (politician),Q6227714
Lou Lieberman,Q6685602
Neville Graeme Marchant,Q9049700
Lleyton Hewitt,Q180104
Lisa Wilkinson,Q12072926
Joseph Tawadros,Q6287369
Warren Pitt,Q7970426
Robert Stanley Pontifex,Q23020623
Geoffrey Simpson,Q3105259
Barry Wilde,Q4864893
Geoff Williams (footballer),Q5534377
Andrew Vlahov,Q658819
Fred Johnson (Australian footballer),Q15998830
David Goodall (botanist),Q5240703
Geoff Lyons,Q5534212
Nick Garratt,Q7027166
Tracey Moffatt,Q1284772
Brendan Nelson,Q908749
Susan H. Spence,Q19879319
Susan Stocklmayer,Q58333669
Henry Ergas,Q5720872
Patricia Vickers-Rich,Q1687903
Chennupati Jagadish,Q22277337
Rod Laver,Q105550
Allan Myers,Q17306322
Maria Myers,Q22262370
Mary O'Kane,Q22262375
John Pascoe,Q6252008
Mike Rann,Q3108729
Michael Andrew (management consultant),Q17627258
Elizabeth Broderick,Q17505046
Geraldine Brooks (writer),Q260011
David Walsh (art collector),Q5240807
Richard Ackland,Q7323629
David Evans (Victorian politician),Q17385895
Joseph Forshaw,Q1707628
Jackie French,Q542933
Michael Aird,Q6828140
Patsy Biscoe,Q7148219
Heather Reid (sports administrator),Q63676256
Betty Kitchener,Q4898881
Craig Knowles,Q5181125
Bob Lay,Q26728660
Stephen Loosley,Q7609817
Daniel McDaniel,Q16732270
Ann Symonds,Q4766698
Stuart Smith (general),Q6134617
Adrian Pagan,Q4685258
Brendan Crabb,Q16196411
Janice Reid,Q50300282
Layne Beachley,Q433859
Stephen Brady,Q7608762
Milton Hearn,Q20950027
Martin Holzberger,Q16729894
John Croucher,Q30348972
Rosalind Croucher,Q30342495
Deborah De Williams,Q5248227
Yvonne Hill,Q11903103
Charlie King (sports broadcaster),Q5085119
Diana Warnock,Q5271336
Rachael Sporn,Q2021635
Angus Houston,Q2849811
Jacki Weaver,Q241897
John Bryson (author),Q6223706
Carol Cooke,Q5044294
Robert de Castella,Q728634
Michael Egan (Australian politician),Q6830088
Richard Johnson (architect),Q7326891
Peter Muller (architect),Q7175983
Bob Oatley,Q22001998
Rosemary Owens,Q16202701
Dawn Lawrie,Q5242462
Ruth Fincher,Q17509076
Kieran Modra,Q6405429
Ian Campbell (public servant),Q16202249
Ed Byrne (neuroscientist),Q5342122
Brenton Broadstock,Q392099
Geoffrey Rush,Q166272
Rob Moodie (doctor),Q7340387
Alicia Coutts,Q2075312
Cate Campbell,Q261594
Adrian Gibson,Q16097763
Nazim Erdem,Q6983456
Peter Doak,Q510222
Lucinda Dunn,Q38362723
Brittany Elmslie,Q2739656
Bernard Smith (art historian),Q822710
Bill Stefaniak,Q4910989
Liesl Tesch,Q6544335
Patrick Thomas (conductor),Q7147724
Conall O'Connell,Q16733586
Margaret Rodgers (deaconess),Q17171162
Albert Green (Australian politician),Q4710351
Stephanie Morton,Q7608347
Robert O'Neill (historian),Q7345949
Noel Maughan,Q16104498
Cody Meakin,Q5140452
Ryan Scott (wheelchair rugby),Q7384496
Sally Pearson,Q6026
Todd Hodgetts,Q7812439
Ruth Milne Hall,Q18044005
Yolane Kukla,Q1966907
Prue Watt,Q7253016
David Wells (admiral),Q55397009
Michael White (psychotherapist),Q786213
Tom Stephens,Q7817684
Bill Wood (politician),Q4911422
Alan Clough,Q19872344
Donald Cameron (Tasmanian politician),Q5294129
Michael Hintze,Q6831152
Jack Cross (footballer),Q21070070
Neil Perry,Q16189442
Abdullah Saeed (professor),Q18639384
Steven Schwartz (psychologist),Q7615249
Jane Lomax-Smith,Q6152492
David Parkin,Q5238394
Paul Guest (rower),Q24005611
Ted Hamilton,Q16104676
David Graham (golfer),Q2042823
Joseph Fleming (politician),Q19665605
Peter Goers,Q7174272
James Goldrick,Q6134711
Margaret White (judge),Q16106505
Jillian Gallagher,Q78170637
Bonita Mabo,Q4942068
Natalie Miller,Q63508202
Marilyn Renfree,Q16116500
Brian Schmidt,Q201452
James Allsop,Q6128666
Janet Thomas,Q50345091
Greg James (judge),Q5605766
Rod Boswell,Q19871496
Michele Bruniges,Q6836707
Russell Cooper,Q3453451
Eugenie Lumbers,Q56249815
Mandyam Veerambudi Srinivasan,Q11250745
Rhonda Sharp,Q17180931
Peter McPhee (academic),Q7175824
David Russell (barrister),Q15972356
Stirling Mortlock,Q737072
Maggie Beer,Q6730185
Ricky Ponting,Q472649
David James Skellern,Q19668738
Rosemary Balmford,Q53333930
Alan Bartholomai,Q21502419
Robyn Layton,Q44168088
Virginia Bell,Q7934142
Diana Bryant,Q5271112
Kerry Hill,Q6394544
Richard Menhinick,Q7327773
Thomas Payne (Australian politician),Q23035617
Helen Sham-Ho,Q5703127
Gus Mercurio,Q1555323
Peter Morris (politician),Q7175954
Oscar Whitbread,Q16893633
Peter Somerville,Q7177029
Alexander Stuart (Australian politician),Q2833215
Sabina Wolanski,Q2209560
Torah Bright,Q264875
Jeff Hook,Q6174087
Neil Hamilton Fairley,Q2641921
Steve Glasson,Q7612665
Barbara York Main,Q21338740
William Pickering (Australian politician),Q8016872
Elisabeth Cummings,Q5361447
Michael Keenan (politician),Q6831813
Roger Smalley,Q15498610
Charlie Teo,Q5082886
Gerard Vaughan (art historian),Q27131873
Noel Whittaker,Q7047256
Elizabeth Cosson,Q5362622
Auriel Andrew,Q4822366
Jill Slay,Q67173365
Elke Neidhardt,Q110124
Penelope Diane Olsen,Q7162564
John Parkes,Q6251938
Peter Costello,Q2546246
Penelope Wensley,Q434284
Peter Coaldrake,Q7114597
Anne Levy,Q4768535
Tony McMichael,Q17011218
Margaret Thorsborne,Q6759962
Graham Gunn,Q5592871
Mark Loane,Q3294151
Bille Brown,Q862784
Jim Collins (Australian footballer),Q20988904
Paul O'Sullivan,Q2796190
Richard Tognetti,Q3431272
Bruce Baird,Q4977100
Elizabeth Blackburn,Q26321
Robert French,Q7344540
David Hurley,Q5235277
Ray Groom,Q524500
Jeff Harmer,Q16136210
Wendy Hoy,Q37831174
Byron Barnard Lamont,Q5004408
Peter Goldsworthy,Q5763170
George Cash,Q5537741
Max Coltheart,Q1912372
Annette Dobson,Q4769065
Patricia Giles,Q16090810
Edward William Davies,Q5345896
Kelvin Kerkow,Q6386689
Bruce Thom,Q4978356
Fred Watson,Q1452552
Reg Watson,Q2065637
Djambawa Marawili,Q21454246
Robyn Walker,Q16193428
Andrew Nikolic,Q4758125
Mark Skidmore,Q16193368
Betty R. Moore,Q2900256
Talal Yassine,Q7678845
Greg Crafter,Q16106592
Richard Divall,Q15967318
Wayne Bartholomew,Q3566818
Richard Wilson (general),Q7330029
Ronald Sackville,Q7365258
David Morgan (businessman),Q5237706
Pauline Ladiges,Q17517146
Ray Borner,Q3420478
Angie Bainbridge,Q1905445
George Campbell (Australian politician),Q5537635
Louise Burke,Q39674940
Julianne Schultz,Q6307874
John Price (New South Wales politician),Q6253388
Margaret Staib,Q6759912
Robert Stanley Pontifex,Q23020623
Brett Stibners,Q4962394
Emma Snowsill,Q257049
Emily Seebohm,Q240668
Wendy Whiteley,Q7982823
Tarnee White,Q1761135
Nathan Wilmot,Q3503428
Mark Schwarzer,Q159057
Felicity Galvez,Q271208
Duncan Free,Q1265388
Lara Davenport,Q2416678
David Crawshay,Q1174097
Jean Elsie Ferguson,Q24239526
Matthew Dunn,Q1400267
Adrian Leo Doyle,Q372868
Bill Casimaty,Q65679969
Deb Cox,Q21005455
John Halbert,Q6237247
Tony McGrady,Q7822929
Tim Horan,Q3528646
Marcia Hines,Q6757110
Marilyn Darling,Q56147291
Kim Beazley,Q304561
Kylie Palmer,Q264433
Melanie Schlanger,Q271211
Shayne Reese,Q2415174
Katrina Porter,Q6377968
Rebel Penfold-Russell,Q7302045
Rick Pendleton,Q7331638
Stephanie Rice,Q228660
Linda Mackenzie,Q444902
Lesley Campbell,Q57054824
John Bennison,Q30230397
Mark Sullivan (public servant),Q17010973
Mike Hindmarsh,Q6847244
Louise Adler,Q6688598
Mike Archer (paleontologist),Q957612
Glenn McGrath,Q1392178
Tony Vinson,Q7823626
John Harvey (RAAF officer),Q6238124
Les Abbott (rugby league),Q67056053
Paul Grundy (engineer),Q7151031
John Carrick (Australian politician),Q6225275
Susan Crennan,Q15501761
Lindsay Fox,Q6552707
Jack Brabham,Q2125
Dean Brown,Q3020626
David Moore (photographer),Q5237682
Bob Shirlaw,Q4933973
Suzanne Rutland,Q1619352
Alexander Floyd,Q4718870
Tibor Gonczol,Q20807642
Elizabeth Little (tennis),Q3051240
Eric Kent,Q5386877
William Holmes (Australian general),Q8012439
David Kemp (Australian scientist),Q28037717
Kenrick Tucker,Q20757572
Alasdair Webster,Q4708447
Marcel Weyland,Q6756251
Alisa Camplin,Q271586
William Foster (Australian politician),Q8009242
David Dridan,Q43129736
Ian R. Johnston,Q5982656
Ian Knop,Q5981997
Robert Ingpen,Q3295484
Fred Finch,Q5495133
Denise Green,Q20856724
Michelle Haber,Q17523836
Len Eacott,Q85171264
Paul Pholeros,Q15430944
Neil Robson (politician),Q11884127
Les Perry,Q6529857
Zali Steggall,Q145103
John Reddish (soldier),Q19666968
Joy Hruby,Q6297154
Harry Hunter,Q5669888
"John McCarthy (Australian rules footballer, born 1967)",Q6247450
Dennis Green (canoeist),Q5258464
Kevin Hamilton (politician),Q18387889
Stan Marks,Q7597777
Ken Henry (public servant),Q6387778
Barry Marshall,Q202136
Bridget Ogilvie,Q4966739
Peter Shergold,Q7176902
Robin Warren,Q208670
John Bannon,Q3180992
Peter Cundall,Q7173472
Margaret Court,Q202342
Margaret Court Arena,Q732679
Maurice de Rohan,Q22958940
David Murray (Australian businessman),Q5237838
John Olsen,Q3182215
Bob Simpson (cricketer),Q2738939
Doreen Akkerman,Q59192720
Gavin Brown (academic),Q5528082
Janice Crosio,Q6154225
Mike Barnett (politician),Q25184175
Val Jeffery,Q26196464
Trevor Johnson (footballer),Q7839238
John Kerr (governor-general),Q1354851
Bev Harrell,Q58487200
Jill Hellyer,Q6192862
Anne Davies (Australian journalist),Q4768257
Mike Williamson (broadcaster),Q6849288
Arthur Marshall (Australian politician),Q4799656
Peter Montgomery (water polo),Q7175927
Doris Pilkington Garimara,Q1245297
Mervyn Rose,Q913948
Amin Saikal,Q4746323
George Hampel (judge),Q5540195
Neville Jeffress,Q7004738
Ian Lacey,Q5982004
Michael Wenden,Q706637
Lyn Swinburne,Q16151990
Peter Toogood,Q17429454
Lisa Gasteen,Q3117430
Robert Jacks,Q7346002
Frank Cameron Jackson,Q1365057
Con Sciacca,Q5158005
James Strong (Australian businessman),Q6143764
Nicole Kidman,Q37459
Harry Messel,Q11171908
Kerry Stokes,Q6394668
Ken Michael,Q185788
Alan Hopgood,Q4706887
Harry Edwards (politician),Q16019373
Warwick Parer,Q6035315
Joan Sheldon,Q6205444
Margaret Nyland,Q43819716
Antony Kidman,Q18016920
Henry Simpson Newland,Q15488706
Ken Matthews (public servant),Q16732157
Fred Stolle,Q54671
Jean Calder,Q55761261
Enid Campbell,Q5378859
Tim Fischer,Q7803494
Jeff Kennett,Q3176518
Michael Alpers,Q6828190
Bryan Beaumont,Q4979974
Derek Denton,Q5261917
Keith White (footballer),Q21598416
Keith Whitehead,Q76658459
Petria Thomas,Q232816
Chantel Wolfenden,Q5072637
Stephen Wooldridge,Q329674
Wendy Richardson,Q7982770
George Petersen,Q5543366
Giaan Rooney,Q447501
Sarah Ryan,Q3950349
Jessicah Schipper,Q235909
Stuart O'Grady,Q145469
Peter Dawson (cyclist),Q716783
Matt Cowdrey,Q3299692
Robert Duncan (rower),Q50276608
Salvatore Coco,Q7406638
Ben Austin,Q4885244
Mark Waugh,Q3177366
Roy Cameron,Q3468229
Graeme Brown,Q464838
Clive Bubb,Q5134511
Janelle Lindsay,Q6153063
Brett Lancaster,Q456612
Libby Trickett,Q270663
John Leo McNamara,Q6244581
Alice Tait,Q261631
Brooke Hanson,Q272215
Hugh Gilchrist,Q22959243
Leisel Jones,Q270686
Lindy Hou,Q6552981
Maurice Hurst (architect),Q6793215
Gwen Harden,Q21515490
Harry Michaels,Q5671079
Shane Kelly,Q2061117
Bob McCarron,Q888102
Judith Green (swimmer),Q16196963
John Moore (Australian politician),Q6249252
Bardayal 'Lofty' Nadjamerrek,Q17014874
Ann Caroline Sherry,Q17000790
Betty Taylor (community advocate),Q96065152
Ian Temby,Q5983051
Robert Williamson (physician),Q2159209
Jimmy Little,Q3494784
Gordon Briscoe,Q5584909
Rodney Cavalier,Q7356875
Jan Chapman,Q3161628
Bob Collins (politician),Q3641283
Beatrice Faust,Q4877146
Victor Warren Fazio,Q20741891
Michelle Grattan,Q6837057
Ros Kelly,Q15504829
Nina Bassat,Q21710949
Ian Macfarlane (economist),Q11976756
John Hay (academic),Q6217729
Graeme Clark (doctor),Q125204
Roger Climpson,Q7357991
Christopher Green (author),Q5112427
Edward Duyker,Q337569
Philip Dulhunty,Q60676161
James Jupp,Q6137034
Tony Messner,Q7822968
Julie Hammer,Q6308225
John Quaife,Q6253640
Simone Young,Q273672
Alfred van der Poorten,Q2644238
Frank Walsh,Q15500898
Frank Walshe,Q16000443
Nigel Coates (admiral),Q7032304
Pamela Russell,Q18166584
Jan Senbergs,Q16105206
Kathy Sullivan (Australian politician),Q16106114
"Jack Bennett (footballer, born 1920)",Q6111241
Andrew Evans (pastor),Q4756910
Jack Lang (Australian politician),Q933146
Betty Wilson,Q4899016
Christopher James Baker,Q96583799
Eileen Kampakuta Brown,Q5349390
Michael Burrows (artist),Q61818726
Lana Cantrell,Q6482830
John Schaeffer (art collector),Q15526953
Evelyn Scott (activist),Q25183380
Mark Taylor (cricketer),Q2735589
Mick Dodson,Q6838143
Franz Kempf,Q5492847
