wpURL,wikipediaPageID,name,pageCreation,wikidataID,name2
https://en.wikipedia.org/wiki/John_Cornforth,1138327,John Cornforth,2004-11-06,Q135154,John Cornforth
https://en.wikipedia.org/wiki/Simone_Young,3550416,Simone Young,2005-12-28,Q273672,Simone Young
https://en.wikipedia.org/wiki/Hayley_Lewis,3001167,Hayley Lewis,2005-10-26,Q274293,Hayley Lewis
https://en.wikipedia.org/wiki/Alyson_Annan,7421199,Alyson Annan,2006-10-13,Q275287,Alyson Annan
https://en.wikipedia.org/wiki/Gillian_Rolton,4215251,Gillian Rolton,2006-02-27,Q275533,Gillian Rolton
https://en.wikipedia.org/wiki/Matthew_Mitcham,17583476,Matthew Mitcham,2008-05-23,Q280309,Matthew Mitcham
https://en.wikipedia.org/wiki/Jill_Bilcock,14687057,Jill Bilcock,2007-12-13,Q280870,Jill Bilcock
https://en.wikipedia.org/wiki/Iain_Jensen,36392454,Iain Jensen,2012-07-11,Q284307,Iain Jensen
https://en.wikipedia.org/wiki/Phil_Smyth,7436124,Phil Smyth,2006-10-14,Q286272,Phil Smyth
https://en.wikipedia.org/wiki/Jerry_Lewis,15967,Jerry Lewis,2001-08-20,Q294927,Jerry Lewis
https://en.wikipedia.org/wiki/Helen_Quinn,6528064,Helen Quinn,2006-08-17,Q450304,Helen Quinn
https://en.wikipedia.org/wiki/Bradley_McGee,1362802,Bradley McGee,2005-01-04,Q450769,Bradley McGee
https://en.wikipedia.org/wiki/Winifred_Curtis,21789084,Winifred Curtis,2009-03-03,Q452813,Winifred Mary Curtis
https://en.wikipedia.org/wiki/Amanda_Vanstone,1007525,Amanda Vanstone,2004-09-22,Q454233,Amanda Vanstone
https://en.wikipedia.org/wiki/Brett_Lancaster,1870231,Brett Lancaster,2005-05-11,Q456612,Brett Lancaster
https://en.wikipedia.org/wiki/Melinda_Gainsford-Taylor,10640278,Melinda Gainsford-Taylor,2007-04-13,Q456778,Melinda Gainsford-Taylor
https://en.wikipedia.org/wiki/Brian_Talboys,664877,Brian Talboys,2004-05-19,Q461383,Brian Talboys
https://en.wikipedia.org/wiki/Elizabeth_Jolley,2053255,Elizabeth Jolley,2005-06-15,Q461902,Elizabeth Jolley
https://en.wikipedia.org/wiki/David_Atkins,2219065,David Atkins,2005-07-12,Q462036,David Atkins
https://en.wikipedia.org/wiki/William_Edward_Murray,26924885,William Edward Murray,2010-04-12,Q462703,William Edward Murray
https://en.wikipedia.org/wiki/Graeme_Brown,1875312,Graeme Brown,2005-05-12,Q464838,Graeme Brown
https://en.wikipedia.org/wiki/David_E._Jeremiah,3099743,David E. Jeremiah,2005-11-07,Q464948,David E. Jeremiah
https://en.wikipedia.org/wiki/Walter_Campbell_(judge),1933109,Walter Campbell (judge),2005-05-24,Q465245,Walter Campbell
https://en.wikipedia.org/wiki/Marshall_Hatch,12944417,Marshall Hatch,2007-08-25,Q466004,Marshall Hatch
https://en.wikipedia.org/wiki/Graham_White_(swimmer),3632330,Graham White (swimmer),2006-01-06,Q466138,Graham White
https://en.wikipedia.org/wiki/Martin_Ferguson,565923,Martin Ferguson,2004-03-31,Q466245,Martin Ferguson
https://en.wikipedia.org/wiki/Andrew_Lock,14998387,Andrew Lock,2008-01-02,Q466332,Andrew Lock
https://en.wikipedia.org/wiki/Anna_Bligh,2312405,Anna Bligh,2005-07-26,Q466482,Anna Bligh
https://en.wikipedia.org/wiki/Priya_Cooper,14466889,Priya Cooper,2007-11-28,Q467278,Priya Cooper
https://en.wikipedia.org/wiki/Ricky_Grace,3665514,Ricky Grace,2006-01-09,Q645067,Ricky Grace
https://en.wikipedia.org/wiki/Dean_Semler,9009121,Dean Semler,2007-01-19,Q648611,Dean Semler
https://en.wikipedia.org/wiki/Michael_Putney_(bishop),42332987,Michael Putney (bishop),2014-03-28,Q652742,Michael Putney
https://en.wikipedia.org/wiki/Duncan_Armstrong,3487384,Duncan Armstrong,2005-12-21,Q652850,Duncan Armstrong
https://en.wikipedia.org/wiki/Andrew_Vlahov,3665672,Andrew Vlahov,2006-01-09,Q658819,Andrew Vlahov
https://en.wikipedia.org/wiki/Scott_McGrory,22665655,Scott McGrory,2009-05-03,Q670553,Scott McGrory
https://en.wikipedia.org/wiki/Peter_Morris_(surgeon),30470763,Peter Morris (surgeon),2011-01-14,Q671591,Peter Morris
https://en.wikipedia.org/wiki/Troy_Elder,4046608,Troy Elder,2006-02-12,Q671905,Troy Elder
https://en.wikipedia.org/wiki/Hugh_Alexander_Dunn,3351321,Hugh Alexander Dunn,2005-12-07,Q677409,Hugh Alexander Dunn
https://en.wikipedia.org/wiki/Danny_Clark_(cyclist),11200169,Danny Clark (cyclist),2007-05-13,Q682724,Danny Clark
https://en.wikipedia.org/wiki/Carl_Wood,1437921,Carl Wood,2005-01-27,Q692611,Carl Wood
https://en.wikipedia.org/wiki/Luc_Longley,157453,Luc Longley,2002-12-13,Q705993,Luc Longley
https://en.wikipedia.org/wiki/Michael_Wenden,4215365,Michael Wenden,2006-02-27,Q706637,Michael Wenden
https://en.wikipedia.org/wiki/David_Palmer_(squash_player),3451497,David Palmer (squash player),2005-12-17,Q1067643,David Palmer
https://en.wikipedia.org/wiki/Cheryl_Praeger,9031833,Cheryl Praeger,2007-01-21,Q1070533,Cheryl Praeger
https://en.wikipedia.org/wiki/Christopher_Koch,3663575,Christopher Koch,2006-01-09,Q1086776,Christopher Koch
https://en.wikipedia.org/wiki/Clem_Christesen,11478371,Clem Christesen,2007-05-29,Q1100236,Clem Christesen
