wikipediaURL,fullName
https://en.wikipedia.org/wiki/Elizabeth_Chong,Elizabeth Chong
https://en.wikipedia.org/wiki/Adrienne_Cahalan,Adrienne Cahalan
https://en.wikipedia.org/wiki/Dennis_Meredith,Dennis Meredith
https://en.wikipedia.org/wiki/Deborah_Lawrie,Deborah Lawrie
https://en.wikipedia.org/wiki/Kevin_Rudd,Kevin Rudd
https://en.wikipedia.org/wiki/Jake_Ellwood,Jake Ellwood
https://en.wikipedia.org/wiki/Robert_Gillies_(Australian_politician),Robert Gillies (Australian politician)
https://en.wikipedia.org/wiki/Frank_Fisher_(rugby_league),Frank Fisher (rugby league)
https://en.wikipedia.org/wiki/Jessica_Smith_(swimmer),Jessica Smith (swimmer)
https://en.wikipedia.org/wiki/Eric_Bana,Eric Bana
https://en.wikipedia.org/wiki/George_Mye,George Mye
https://en.wikipedia.org/wiki/Darren_Hayes,Darren Hayes
https://en.wikipedia.org/wiki/Carrie_Bickmore,Carrie Bickmore
https://en.wikipedia.org/wiki/Guy_Sebastian,Guy Sebastian
https://en.wikipedia.org/wiki/David_Campbell_(singer),David Campbell (singer)
https://en.wikipedia.org/wiki/Hugh_Jackman,Hugh Jackman
https://en.wikipedia.org/wiki/Meryl_Tankard,Meryl Tankard
https://en.wikipedia.org/wiki/Li_Cunxin,Li Cunxin
https://en.wikipedia.org/wiki/Cassandra_Kelly,Cassandra Kelly
https://en.wikipedia.org/wiki/Kathryn_Fagg,Kathryn Fagg
https://en.wikipedia.org/wiki/Nan_Bosler,Nan Bosler
https://en.wikipedia.org/wiki/Margaret_Jackson,Margaret Jackson
https://en.wikipedia.org/wiki/Sarah-Jane_Clarke,Sarah-Jane Clarke
https://en.wikipedia.org/wiki/John_Tierney_(Australian_politician),John Tierney (Australian politician)
https://en.wikipedia.org/wiki/Natasha_Stott_Despoja,Natasha Stott Despoja
https://en.wikipedia.org/wiki/John_Cornwall_(South_Australian_politician),John Cornwall (South Australian politician)
https://en.wikipedia.org/wiki/John_E._Scanlon,John E. Scanlon
https://en.wikipedia.org/wiki/J._Bruce_Jacobs,J. Bruce Jacobs
https://en.wikipedia.org/wiki/Josephine_Flood,Josephine Flood
https://en.wikipedia.org/wiki/Rae_Cooper,Rae Cooper
https://en.wikipedia.org/wiki/Graeme_Turner,Graeme Turner
https://en.wikipedia.org/wiki/Peter_Rathjen,Peter Rathjen
https://en.wikipedia.org/wiki/Katherine_Belov,Katherine Belov
https://en.wikipedia.org/wiki/Faith_Thomas,Faith Thomas
https://en.wikipedia.org/wiki/Ricky_Grace,Ricky Grace
https://en.wikipedia.org/wiki/Tilman_Ruff,Tilman Ruff
"https://en.wikipedia.org/wiki/Elizabeth_North,_South_Australia","Elizabeth North, South Australia"
https://en.wikipedia.org/wiki/Marie_Porter,Marie Porter
https://en.wikipedia.org/wiki/Virginia_Spate,Virginia Spate
https://en.wikipedia.org/wiki/Tom_Gleisner,Tom Gleisner
https://en.wikipedia.org/wiki/John_Goss_(racing_driver),John Goss (racing driver)
https://en.wikipedia.org/wiki/Joanne_Broadbent,Joanne Broadbent
https://en.wikipedia.org/wiki/Christobel_Saunders,Christobel Saunders
https://en.wikipedia.org/wiki/Rose_Amal,Rose Amal
https://en.wikipedia.org/wiki/Kate_Grenville,Kate Grenville
https://en.wikipedia.org/wiki/Robyn_Guymer,Robyn Guymer
https://en.wikipedia.org/wiki/Jill_Bilcock,Jill Bilcock
https://en.wikipedia.org/wiki/Michael_Noonan_(admiral),Michael Noonan (admiral)
https://en.wikipedia.org/wiki/Paul_McLachlan,Paul McLachlan
https://en.wikipedia.org/wiki/Goff_Letts,Goff Letts
https://en.wikipedia.org/wiki/Helen_Brownlee,Helen Brownlee
https://en.wikipedia.org/wiki/John_Cuneo_(sailor),John Cuneo (sailor)
https://en.wikipedia.org/wiki/Geoffrey_Harcourt,Geoffrey Harcourt
https://en.wikipedia.org/wiki/John_Kerin,John Kerin
https://en.wikipedia.org/wiki/Robert_Gottliebsen,Robert Gottliebsen
https://en.wikipedia.org/wiki/Philip_Brady_(broadcaster),Philip Brady (broadcaster)
https://en.wikipedia.org/wiki/Christian_Zahra,Christian Zahra
https://en.wikipedia.org/wiki/Lee_Tarlamis,Lee Tarlamis
https://en.wikipedia.org/wiki/David_Walker_(historian),David Walker (historian)
https://en.wikipedia.org/wiki/Barbara_G._Briggs,Barbara G. Briggs
https://en.wikipedia.org/wiki/Linda_Jackson_(designer),Linda Jackson (designer)
https://en.wikipedia.org/wiki/Arman_Abrahimzadeh,Arman Abrahimzadeh
https://en.wikipedia.org/wiki/Robert_Murray_Smith,Robert Murray Smith
https://en.wikipedia.org/wiki/David_Smith_(Western_Australian_politician),David Smith (Western Australian politician)
https://en.wikipedia.org/wiki/Ian_Smith_(lobbyist),Ian Smith (lobbyist)
