id,label,url,description,matchText,PossibleAlias,wikiDataMatch,wikiAusMatch
Q15996157,Jack Roberts,//www.wikidata.org/wiki/Q15996157,"Australian rules footballer, born 1867",Jack Roberts,NA,Y,Y
Q6069158,Irene Moss,//www.wikidata.org/wiki/Q6069158,Australian lawyer,Irene Kwong Moss,Irene Kwong Moss,Y,Y
Q25262266,Concetta Benn,//www.wikidata.org/wiki/Q25262266,Australian social worker,Concetta Benn,NA,Y,Y
Q1086776,Christopher Koch,//www.wikidata.org/wiki/Q1086776,Australian novelist,Christopher John Koch,Christopher John Koch,Y,Y
Q6227951,John Curro,//www.wikidata.org/wiki/Q6227951,"Australian conductor, violist and musical director",John Ronald Curro,John Ronald Curro,Y,Y
Q18389591,Elizabeth Cameron Dalman,//www.wikidata.org/wiki/Q18389591,Australian choreographer,Elizabeth Cameron Dalman,NA,Y,Y
Q7298611,Raymond Boultwood Ewers,//www.wikidata.org/wiki/Q7298611,Australian sculptor,Raymond Boultwood Ewers,NA,Y,Y
Q16864449,Max Germaine,//www.wikidata.org/wiki/Q16864449,Australian fine art valuer and writer,Max Germaine,NA,Y,Y
Q6537578,Lex Marinos,//www.wikidata.org/wiki/Q6537578,Australian actor,Alexander Francis Marinos,Alexander Francis Marinos,Y,Y
Q18166179,Mervyn Ashmore Smith,//www.wikidata.org/wiki/Q18166179,Australian artist,Mervyn Ashmore Smith,NA,Y,Y
Q59159519,Marian Sawer,//www.wikidata.org/wiki/Q59159519,Australian politician scientist and researcher,Marian Sawer,NA,Y,Y
Q55063755,Yvette Amer,//www.wikidata.org/wiki/Q55063755,Australian charity fundraiser,Yvette Fay Amer,Yvette Fay Amer,Y,Y
Q83442396,Dulcie Flower,//www.wikidata.org/wiki/Q83442396,Australian activist,Dulcie Flower,NA,Y,Y
Q1022204,Eva Burrows,//www.wikidata.org/wiki/Q1022204,General of The Salvation Army,Eva Evelyn Burrows,Eva Evelyn Burrows,Y,Y
Q5302064,Douglas Vincent,//www.wikidata.org/wiki/Q5302064,Australian general,Douglas Vincent,NA,Y,Y
