"","id","label","url","description","matchText","PossibleAlias","wikiDataMatch"
"65","Q7154532","Paul Zammit","//www.wikidata.org/wiki/Q7154532","Australian politician","Paul John Zammit","Paul John Zammit","Y"
"66","Q7047152","Noel Padgham-Purich","//www.wikidata.org/wiki/Q7047152","Australian politician","Cecilia Noel Padgham-Purich","Cecilia Noel Padgham-Purich","Y"
"67","Q26704358","Susan Neuhaus","//www.wikidata.org/wiki/Q26704358","General surgeon and surgical oncologist","Susan Josephine Neuhaus","Susan Josephine Neuhaus","Y"
"68","Q348577","Tony Abbott","//www.wikidata.org/wiki/Q348577","Australian politician, 28th Prime Minister of Australia","Tony Abbott",NA,"Y"
"69","Q7821738","Tony Abbott","//www.wikidata.org/wiki/Q7821738","American children's writer","Tony Abbott",NA,"Y"
"70","Q7821736","Tony Abbott","//www.wikidata.org/wiki/Q7821736","Canadian politician","Tony Abbott",NA,"Y"
"71","Q61748921","Tony Abbott","//www.wikidata.org/wiki/Q61748921","fictional character from the television series The Mysteries of Laura","Tony Abbott",NA,"Y"
"72","Q7821739","Tony Abbott","//www.wikidata.org/wiki/Q7821739","British diplomat","Tony Abbott",NA,"Y"
"73","Q7821737","Tony Abbott / Anthony Abbott","//www.wikidata.org/wiki/Q7821737","human name disambiguation page","Tony Abbott / Anthony Abbott",NA,"Y"
"74","Q17669368","Tony Abbott competes in 2012 Wagga Wagga fun run","//www.wikidata.org/wiki/Q17669368","Wikinews article","Tony Abbott competes in 2012 Wagga Wagga fun run",NA,"Y"
"75","Q6758529","Marcus Westbury","//www.wikidata.org/wiki/Q6758529","Australian festival director","Marcus Westbury",NA,"Y"
"76","Q17318570","Yvonne Audette","//www.wikidata.org/wiki/Q17318570","artist","Yvonne Audette",NA,"Y"
"77","Q89697567","Vincent Namatjira","//www.wikidata.org/wiki/Q89697567","Australian Indigenous artist","Vincent Namatjira",NA,"Y"
"78","Q17150937","Giorgos Petrou","//www.wikidata.org/wiki/Q17150937","Greek painter","George Petrou","George Petrou","Y"
"79","Q12859981","Tjunkaya Tapaya","//www.wikidata.org/wiki/Q12859981","Aboriginal Australian artist","Tjunkaya Tapaya",NA,"Y"
"80","Q6708303","Lyn Breuer","//www.wikidata.org/wiki/Q6708303","Australian politician","Lynette Ruth Breuer","Lynette Ruth Breuer","Y"
"81","Q45692230","Ming Long","//www.wikidata.org/wiki/Q45692230","Ming dynasty person CBDB = 128692","Ming Long",NA,"Y"
"82","Q89301920","Ming-Long Yeh","//www.wikidata.org/wiki/Q89301920","researcher","Ming-Long Yeh",NA,"Y"
