name,wdID
David Burke,Q64518460
Jayashri Kulkarni,Q61741188
Ruth McNair ,Q28925005
Christine Kilpatrick ,Q49564679
Rachael Kohn ,Q7279079
Judy Tierney,Q60608741
Leigh Sales,Q6519670
Mary Anne Kirkpatrick,Q75782657
Elizabeth Mary Chiarella,Q70731997
Megan-Jane Johnstone,Q47193440
Debra Jackson,Q39818657
Dave Nilsson,Q3018541
Frank Sedgman ,Q962049
Jan Cameron,Q3807042
Don Tregonning,Q25755189
Elizabeth Chong ,Q5362577
Adrienne Cahalan,Q4685686
Dennis Meredith,Q5258732
Deborah Lawrie ,Q5248305
Kevin Rudd ,Q43135
Susan Kippax,Q66490681
Jake Ellwood,Q76708273
Sue Murphy,Q96119748
Robert Gillies ,Q7344780
Frank Fisher ,Q5486623
Jessica Smith,Q86927470
Eric Bana,Q4440
George Mye,Q52636191
Darren Hayes ,Q527055
Carrie Bickmore,Q4086613
Guy Sebastian ,Q983452
David Campbell ,Q5232113
Hugh Jackman ,Q129591
Meryl Tankard,Q6820995
Li Cunxin,Q712579
Kay Van Norton Poche,Q96120863
Cassandra Kelly,Q21932435
Carol Schwartz,Q96120562
Kathryn Fagg,Q53568318
Nan Bosler,Q83100565
Margaret Jackson,Q6759554
Sarah-Jane Clarke ,Q62003665
John Tierney,Q6260826
Natasha Stott Despoja,Q6968504
John Cornwall,Q6227168
John E. Scanlon,Q21175237
Rosemary Johnston,Q57004917
J. Bruce Jacobs ,Q76577662
Josephine Flood,Q17523828
Rae Cooper ,Q64665944
Yi Min Xie ,Q59684921
Dharmendra Sharma,Q58143378
Graeme Turner,Q5592411
Helen Patricia Ramsay,Q21606943
Bev Overton ,Q77484961
Elizabeth Martin ,Q96119326
Peter Rathjen ,Q7176537
Katherine Belov ,Q21463152
Faith Thomas ,Q5431233
Ricky Grace ,Q645067
Tilman Ruff ,Q21063268
Elizabeth North ,Q5363269
Marie Porter,Q54941473
Virginia Spate ,Q54906851
John William Cotter ,Q6264134
Tom Gleisner,Q7815955
John Goss,Q6235843
Joanne Broadbent,Q6206077
Christobel Saunders ,Q21063295
Rose Amal,Q25513876
Kate Grenville,Q2919671
Robyn H. Guymer,Q56440759
Jill Bilcock,Q280870
Michael Noonan,Q16733451
Paul McLachlan,Q23771352
Geoffrey Arthur Williams,Q85433418
Goff Letts ,Q5577247
Helen Brownlee,Q62007080
John Cuneo,Q6227867
Geoff Harcourt,Q1502988
John Kerin ,Q1700698
Robert Gottliebsen,Q7344883
Philip Brady ,Q7183266
Christian Zahra,Q5110292
Lee Tarlamis,Q373488
David Walker ,Q5240784
Barbara G. Briggs ,Q2356897
Linda Jackson,Q6551674
Arman Abrahimzadeh,Q48472257
Robert Murray Smith,Q16037897
David Smith ,Q25184192
Ian Smith,Q19879108
Deepak Vinayak ,Q29589031
Jennifer Westacott,Q77982236
Joseph Assaf,Q6281158
Dawn Fraser,Q229040
Dawn Fraser Baths,Q56051624
Anne Wills,Q4768893
David Cooper,Q24682145
Bruce Fink,Q23017422
Kathryn Harby-Williams ,Q6377048
John Hatzistergos,Q16193625
Phillip Thompson,Q64009045
Ronald Eric Johnstone,Q7364841
Roberta Barkworth Shepherd,Q41799667
Su Baker,Q76681163
Suzanne K. Chambers,Q56233428
Shurlee Swain,Q55106278
Catherine Branson ,Q5052554
Gillian Aldridge,Q5562186
Andrew Murray ,Q4758092
Alex Byrne,Q25490545
John Sharp,Q6257427
Noel Kelly ,Q15485653
Peter J. Smith ,Q33693782
Robin Creyke,Q67222775
Geoffrey Burnstock,Q5534494
Brian Owler,Q18378958
Sever Sternhell ,Q7457809
Susan Butler,Q55329619
Terri Cater,Q27058495
Susan Provan,Q54918107
Erica Smyth,Q18057058
San Thang,Q28949164
Jeremy Fisher,Q15486005
Paul Broughton ,Q7149540
Keri Craig-Lee ,Q50875121
Daryl Melham,Q5226210
Ann McGrath,Q64866567
John Marshall,Q2301894
Ann Carr-Boyd ,Q4766306
John B. Biggs,Q6219865
Richard Francis-Bruce,Q1969707
Sydney Fischer,Q76030305
Michael Ebeid ,Q6830064
Peter de Waal,Q64762923
Anne Warner,Q4768873
Kathryn Toohey,Q30112690
M. C. Ricklefs,Q3272425
Judith Ryan ,Q77354537
Ian Robinson ,Q5982762
